parish,county,from_year,to_year,comments,district,source_url
Abberton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Besford,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Birlingham,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Bishampton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Bredicot,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Bricklehampton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Broughton Hackett,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Charlton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Churchill,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Cropthorne,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Defford,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Dormston,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Eckington,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Elmley Castle,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Fladbury,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Flyford Flavell,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Grafton Flyford,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Great Comberton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Hill & Moor,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Kington,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Little Comberton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Naunton Beauchamp,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Netherton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
North Piddle,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Norton juxta Kempsey,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Peopleton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Pershore Holy Cross,Worcestershire,1837,1949,Abolished 1.4.1949 and added to the parish of Pershore.,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Pershore St. Andrew,Worcestershire,1837,1949,Abolished 1.4.1949 and added to the parish of Pershore.,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Pinvin,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Pirton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Spetchley,Worcestershire,1837,1974,"See Table 2, note (f).",Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Stoulton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Strensham,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Throckmorton,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Upton Snodsbury,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
White Ladies Aston,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Whittington,Worcestershire,1837,1974,"See Table 2, notes (a), (b), (d) and (g).",Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Wick,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
Wyre Piddle,Worcestershire,1837,1974,,Pershore,http://www.ukbmd.org.uk/reg/districts/pershore.html
