parish,county,from_year,to_year,comments,district,source_url
Glascoed,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanbadoc Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Goytre,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Goetre Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Gwehelog,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Gwehlog Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Gwernesney,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llantrisant 
    Fawr.",Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Kemeys Commander,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Gwehlog Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llanbadoc,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanbadoc Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llandegveth,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llangybi Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llanfihangel Pontymoel,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Panteg.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llanfrechfa Lower,Monmouthshire,1837,1974,,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llanfrechfa Upper,Monmouthshire,1837,1974,Abolished 1.4.1974 and added to the community of Cwmbran.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llangeview,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llantrisant 
    Fawr.",Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llangibby,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llangybi Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llanhilleth,Monmouthshire,1837,1939,"See Table 2, notes (b) and e).",Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llanllowell,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llantrisant 
    Fawr.",Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llanthewy Vach,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llangbyi Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Llantrissent,Monmouthshire,1837,1935,"Abolished 1.4.1935 and added to the parish of Llantrisant 
    Fawr.",Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Mamhilad,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Goetre Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Monkswood,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanbadoc Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Panteg,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Pontypool.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Trevethin with Pontypool,Monmouthshire,1837,1894,"Abolished 1894 and divided between the parishes of Abersychan, 
    Pontypool and Blaenavon. See also Table 2, note (a).",Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Trostrey,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Gwehlog Fawr.,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
Usk,Monmouthshire,1837,1974,,Pontypool,http://www.ukbmd.org.uk/reg/districts/pontypool.html
