parish,county,from_year,to_year,comments,district,source_url
Abbey Cwmhir,Radnorshire,1837,1933,"See Table 2, note (b).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
Cefnllys,Radnorshire,1837,1894,"Abolished 1894 and divided into the parishes of Cefnllys Urban 
    and Cefnllys Rural.",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
Llanbadarn Fawr,Radnorshire,1837,1933,"See Table 2, note (b).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
Llanfihangel Helygen,Radnorshire,1837,1933,"See Table 2, note (b).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
Llansanffraid Cwmdeuddwr,Radnorshire,1837,1933,"See Table 2, note (b).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
Llanwrthwl,Brecknockshire,1837,1933,"See Table 2, note (c).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
Llanyre,Radnorshire,1837,1933,"See Table 2, note (b).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
Nantmel,Radnorshire,1837,1933,"See Table 2, notes (a) and (b).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
Rhayader,Radnorshire,1837,1933,"See Table 2, note (b).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
St. Harmon,Radnorshire,1837,1933,"See Table 2, note (b).",Rhayader,http://www.ukbmd.org.uk/reg/districts/rhayader.html
