parish,county,from_year,to_year,comments,district,source_url
Ballingham,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Brampton Abbotts,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Bridstow,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Brockhampton,Herefordshire,1837,1974,"See Table 2, note (b).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Foy,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Goodrich,Herefordshire,1837,1974,"See Table 2, note (m).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Harewood,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Hentland,Herefordshire,1837,1974,"See Table 2, note (a).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Hope Mansell,Herefordshire,1837,1974,"See Table 2, notes (l) and (m).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
How Caple,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Kings Caple,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Lea Bailey,Gloucestershire,1837,1890,"Abolished 24.3.1890 and divided between the parishes of Lea and 
    Blaisdon. See also Table 2, notes (e) and (h).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Lea Upper,Herefordshire,1837,1883,Abolished 25.3.1883 and added to the parish of Lea.,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Llandinabo,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Llangarren,Herefordshire,1837,1974,"See Table 2, notes (f) and (g).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Llanwarne,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Marstow,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Pencoyd,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Peterstow,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Ross on Wye,Herefordshire,1837,1894,"Abolished 1894 and divided between the parishes of Ross Urban and 
    Ross Rural.",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Ruardean,Gloucestershire,1837,1935,"See Table 2, notes (d), (k) and (k).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Sellack,Herefordshire,1837,1974,"See Table 2, note (b).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Sollers Hope,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
St. Weonards,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Tretire with Michaelchurch,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Upton Bishop,Herefordshire,1837,1974,"See Table 2, notes (c) and (n).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Walford,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Weston under Penyard,Herefordshire,1837,1974,"See Table 2, note (m).",Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
Yatton,Herefordshire,1837,1974,,Ross,http://www.ukbmd.org.uk/reg/districts/ross.html
