parish,county,from_year,to_year,comments,district,source_url
Alnham,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Alwinton,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Barrow,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Bickerton,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Biddlestone,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Brinkburn High Ward,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Brinkburn Low Ward,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Brinkburn South Side,Northumberland,1837,1889,"Abolished 24.3.1889 and added to the parish of Brinkburn 
    High Ward.",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Burradon,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Caistron,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Callaley & Yetlington,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Cartington,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Clennel,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Coatyards,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Debdon,Northumberland,1837,1889,Abolished 24.3.1889 and added to the parish of Rothbury.,Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Dueshill,Northumberland,1837,1889,Abolished 24.3.1889 and added to the parish of Holystone.,Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Elsdon,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Ewesley,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Fairhaugh,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Fairnley,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Fallowlees,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Farnham,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Flotterton,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Great Ryle,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Great Tosson & Rye Hill,Northumberland,1837,1889,"Abolished 24.3.1889 and divided between the parishes of Tosson 
    and Hepple.",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Greenleighton,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Harbottle,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Hartington,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Hartington Hall,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Harwood,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Healey & Comb Hill,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Hepple,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Hepple Demesne,Northumberland,1837,1889,Abolished 24.3.1889 and added to the parish of Hepple.,Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Hesleyhurst,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
High & Low Trewhitt,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Hollinghill,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Holystone,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Kidland,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Lee Ward,Northumberland,1837,1889,"Abolished 24.3.1889 and divided between the parishes of Hesleyhurst 
    and Raw.",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Linbridge,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Linsheeles,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Little Ryle,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Little Tosson,Northumberland,1837,1889,"Abolished 24.3.1889 and divided between the parishes of Tosson 
    and Hepple.",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Longframlington,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Lorbottle,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Monkridge,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Mount Healey,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Netherton North Side,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Netherton South Side,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Newtown,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Nunnykirk,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Pauperhaugh,Northumberland,1837,1889,Abolished 24.3.1889 and added to the parish of Raw.,Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Peels,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Prendwick,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Raw,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Ritton Colt Park,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Ritton White House,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Rothbury,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Rothley,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Scrainwood,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Sharperton,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
Snitter,Northumberland,1837,1936,"See Table 2, note (a).",Rothbury,http://www.ukbmd.org.uk/reg/districts/rothbury.html
