parish,county,from_year,to_year,comments,district,source_url
Acton Grange,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Walton.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Alvanley,Cheshire,1837,1974,"See Table 2, note (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Antrobus,Cheshire,1837,1974,"See Table 2, note (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Appleton,Cheshire,1837,1974,"See Table 2, note (m).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Aston by Sutton,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Aston.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Aston Grange,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Aston.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Bartington,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Dutton.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Clifton,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Sutton and 
    Runcorn.",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Crowley,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Antrobus.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Daresbury,Cheshire,1837,1974,"See Table 2, note (k).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Dutton,Cheshire,1837,1974,"See Table 2, notes (j) and (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Frodsham,Cheshire,1837,1974,"See Table 2, note (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Frodsham Lordship,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Frodsham.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Great Budworth,Cheshire,1837,1974,"See Table 2, note (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Halton,Cheshire,1837,1967,Abolished 1.4.1967 and added to the parish of Runcorn.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Hatton,Cheshire,1837,1974,"See Table 2, note (m).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Helsby,Cheshire,1837,1974,"See Table 2, note (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Higher Whitley,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Whitley,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Keckwick,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Daresbury.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Kingsley,Cheshire,1837,1974,"See Table 2, note (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Kingswood,Cheshire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Manley, 
    Kingsley and Norley.",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Lower Whitley,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Whitley.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Manley,Cheshire,1837,1974,"See Table 2, note (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Moore,Cheshire,1837,1974,"See Table 2, note (k).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Newton by Daresbury,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Daresbury.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Newton by Frodsham,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Kingsley.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Norley,Cheshire,1837,1974,"See Table 2, notes (b), (c) and (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Norton,Cheshire,1837,1967,"Abolished 1.4.1967 and divided between the parishes of Runcorn 
    and Daresbury.",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Preston on the Hill,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Preston Brook.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Runcorn,Cheshire,1837,1974,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, note (k).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Seven Oaks,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Antrobus.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Stockham,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Preston Brook.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Stretton,Cheshire,1837,1974,"See Table 2, note (m).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Sutton,Cheshire,1837,1974,"Renamed 1.4.1974 to become the parish of Sutton Weaver. See also Table 
    2, note (l).",Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Walton Inferior,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Walton.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Walton Superior,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Walton.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
Weston,Cheshire,1837,1936,Abolished 1.4.1936 and added to the parish of Runcorn.,Runcorn,http://www.ukbmd.org.uk/reg/districts/runcorn.html
