parish,county,from_year,to_year,comments,district,source_url
Anlaby,Yorkshire East Riding,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Haltemprice 
    and Sculcoates.",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Cottingham,Yorkshire East Riding,1837,1894,"Abolished 1894 to become the separate parishes of Cottingham Within 
    and Cottingham Without. See also Table 2, note (a).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Drypool,Yorkshire East Riding,1837,1898,Abolished 25.3.1898 and added to the parish of Sculcoates.,Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Garrison Side,Yorkshire East Riding,1837,1898,Abolished 25.3.1898 and added to the parish of Sculcoates.,Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Haltemprice,Yorkshire East Riding,1837,1937,"See Table 2, note (b).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Hedon,Yorkshire East Riding,1837,1937,"See Table 2, note (b).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Hessle,Yorkshire East Riding,1837,1894,"Abolished 1894 to become the separate parishes of Hessle Within 
    and Hessle Without.",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Kirk Ella,Yorkshire East Riding,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Haltemprice, 
    Skidby and Sculcoates. See also Table 2, note (b).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Marfleet,Yorkshire East Riding,1837,1898,Abolished 25.3.1898 and added to the parish of Sculcoates.,Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Melton,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Welton.,Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
North Ferriby,Yorkshire East Riding,1837,1937,"See Table 2, note (b).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Preston,Yorkshire East Riding,1837,1937,"See Table 2, note (b).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Sculcoates,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Southcoates,Yorkshire East Riding,1837,1898,Abolished 25.3.1898 and added to the parish of Sculcoates.,Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Sutton & Stoneferry,Yorkshire East Riding,1837,1894,"Abolished 1894 to become the separate parishes of Sutton Within 
    and Sutton Without.",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Swanland,Yorkshire East Riding,1837,1937,"See Table 2, note (b).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Wauldby,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Welton.,Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Welton,Yorkshire East Riding,1837,1937,"See Table 2, note (b).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
West Ella,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Haltemprice.,Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
Willerby,Yorkshire East Riding,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Haltemprice, 
    Skidby and Sculcoates. See also Table 2, note (b).",Sculcoates,http://www.ukbmd.org.uk/reg/districts/sculcoates.html
