parish,county,from_year,to_year,comments,district,source_url
Ashmore,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Cann,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Compton Abbas,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
East Orchard,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
East Stour,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Fontmell Magna,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Gillingham,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Holy Trinity,Dorset,1837,1894,"Abolished 1894 and divided between the parishes of Shaftesbury 
    and Cann.",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Iwerne Minster,Dorset,1837,1937,"See Table 2, notes (c) and (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Margaret Marsh,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Melbury Abbas,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Motcombe,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
St. James,Dorset,1837,1894,"Abolished 1894 and divided between the parishes of Shaftesbury, 
    Alcester and Cann.",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
St. Peter,Dorset,1837,1894,"Abolished 1894 andi ncorporated into the parishes of Shaftesbury 
    and Cann.",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Stour Provost,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Sutton Waldron,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
Todber,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
West Orchard,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
West Stour,Dorset,1837,1937,"See Table 2, note (d).",Shaftesbury,http://www.ukbmd.org.uk/reg/districts/shaftesbury.html
