parish,county,from_year,to_year,comments,district,source_url
Barlaston,Staffordshire,1837,1937,"See Table 2, notes (f) and (h).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Chebsey,Staffordshire,1837,1937,"See Table 2, note (h).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Cold Norton,Staffordshire,1837,1932,Abolished 1.4.1932 and added to the parish of Chebsey.,Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Eccleshall,Staffordshire,1837,1937,"See Table 2, note (h).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Milwich,Staffordshire,1837,1937,"See Table 2, note (h).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Sandon,Staffordshire,1837,1937,"See Table 2, note (h).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Standon,Staffordshire,1837,1937,"See Table 2, note (h).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Stone,Staffordshire,1837,1937,"See Table 2, note (h).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Swynnerton,Staffordshire,1837,1937,"See Table 2, notes (g) and (h).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
Trentham,Staffordshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Swynnerton, 
    Barlaston and Whitmore. See also Table 2, notes (a), (b), (d), (e), (f) and 
    (g).",Stone,http://www.ukbmd.org.uk/reg/districts/stone.html
