parish,county,from_year,to_year,comments,district,source_url
Badwell Ash,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Beyton,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Buxhall,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Combs,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Creeting St. Peter,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Drinkstone,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Elmswell,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Felsham,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Gedding,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Gipping,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Great Ashfield,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Great Finborough,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Harleston,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Haughley,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Hessett,Suffolk,1837,1889,"See Table 2, notes (a) and (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Hinderclay,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Hunston,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Langham,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Little Finborough,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Norton,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Old Newton with Dagworth,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Onehouse,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Rattlesden,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Rickinghall Inferior,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Shelland,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Stowlangtoft,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Stowmarket,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Stowupland,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Thurston,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Tostock,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Walsham-le-Willows,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Wattisfield,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Wetherden,Suffolk,1837,1889,"See Table 2, note (c).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
Woolpit,Suffolk,1837,1889,"See Table 2, note (b).",Stow (to 1935),http://www.ukbmd.org.uk/reg/districts/stow.html
