parish,county,from_year,to_year,comments,district,source_url
Acton,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Alphamstone,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Alpheton,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Assington,Suffolk,1837,1889,"See Table 2, notes (a), (b) and (f).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Ballingdon cum Brundon,Essex,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Belchamp Otten,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Belchamp St. Paul,Essex,1837,1938,"See Table 2, notes (g) and (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Belchamp Walter,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Borley,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Boxted,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Bulmer,Essex,1837,1938,"See Table 2, notes (c), (d) and (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Bures,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Bures St. Mary,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Cavendish,Suffolk,1837,1889,"See Table 2, notes (e) and (j).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Chilton,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Foxearth,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Gestingthorpe,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Glemsford,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Great Cornard,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Great Henny,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Great Waldingfield,Suffolk,1837,1889,"See Table 2, note (f).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Hartest,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Hawkedon,Suffolk,1837,1938,"See Table 2, note (j).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Lamarsh,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Lawshall,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Liston,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Little Cornard,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Little Henny,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Little Waldingfield,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Long Melford,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Middleton,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Nayland,Suffolk,1837,1884,"Abolished 25.3.1884 and added to the parish of Nayland with 
    Wissington.",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Newton,Suffolk,1837,1889,"See Table 2, note (h).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
North Wood,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Pentlow,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Shimpling,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Somerton,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Stanstead,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Stoke by Nayland,Suffolk,1837,1889,"See Table 2, notes (b) and (h).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Sudbury,Suffolk,1837,1889,,Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Sudbury St. Bartholomew,Suffolk,1837,1889,"Abolished 1.4.1935 and divided between the parishes of Sudbury 
    and Long Melford.",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Twinstead,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Wickham,Essex,1837,1938,"See Table 2, note (i).",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
Wissington,Suffolk,1837,1884,"Abolished 25.3.1884 and added to the parish of Nayland with 
    Wissington.",Sudbury,http://www.ukbmd.org.uk/reg/districts/sudbury.html
