parish,county,from_year,to_year,comments,district,source_url
Angersleigh,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Pitminster.,Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Ash Priors,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Bickenhall,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Bishop's Hull,Somerset,1837,1885,"Abolished 25.3.1885 and divided between the parishes of 
    Bishop's Hull Within, Bishop's Hull Without and Oake. See also Table 2, notes 
    (a) and 
    (c).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Bishop's Lydeard,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Cheddon Fitzpaine,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Churchstanton,Devon,1837,1896,"Transferred from Devon to Somerset on 30.9.1896. See also Table 
    2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Combe Florey,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Corfe,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Cothelstone,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Creech St. Michael,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Curland,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Durston,Somerset,1837,1974,"See Table 2, notes (g) and (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Halse,Somerset,1837,1974,"See Table 2, notes (a) and (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Hatch Beauchamp,Somerset,1837,1974,"See Table 2, notes (e) and (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Heathfield,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Norton Fitzwarren.,Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Kingston,Somerset,1837,1952,Renamed 1952 to become the parish of Kingston St. Mary.,Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Lydeard St. Lawrence,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
North Curry,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
Norton Fitzwarren,Somerset,1837,1974,"See Table 2, note (k).",Taunton (1837-1974),http://www.ukbmd.org.uk/reg/districts/taunton.html
