parish,county,from_year,to_year,comments,district,source_url
Alresford,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Ardleigh,Essex,1837,1939,"See Table 2, notes (c) and (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Beaumont with Moze,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Bradfield,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Dovercourt,Essex,1837,1925,Abolished 1.10.1925 and added to the parish of Harwich.,Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Elmstead,Essex,1837,1939,"See Table 2, notes (b) and (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Frating,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Frinton,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Frinton & Walton.,Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Great Bentley,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Great Bromley,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Great Clacton,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Great Holland,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Frinton & Walton.,Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Great Oakley,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Kirby-le-Soken,Essex,1837,1934,"Abolished 1.4.1934 and divided between the parishes of Frinton 
    & Walton and Thorpe-le-Soken.",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Lawford,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Little Bentley,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Little Bromley,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Little Clacton,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Little Holland,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Great Clacton.,Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Little Oakley,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Manningtree,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Mistley,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Ramsey,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
St. Nicholas,Essex,1837,1925,Abolished 1.10.1925 and added to the parish of Harwich.,Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
St. Osyth,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Tendring,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Thorpe-le-Soken,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Thorrington,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Walton-le-Soken,Essex,1837,1934,Abolished 1.4.1934 and added to the parish of Frinton & Walton.,Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Weeley,Essex,1837,1939,"See Table 2, note (c).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Wix,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
Wrabness,Essex,1837,1939,"See Table 2, note (d).",Tendring,http://www.ukbmd.org.uk/reg/districts/tendring.html
