parish,county,from_year,to_year,comments,district,source_url
Alverdiscott,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Ashreigney,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Beaford,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Buckland Filleigh,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Dolton,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Dowland,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Frithelstock,Devon,1837,1936,"See Table 2, notes (a), (b) and (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Great Torrington,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
High Bickington,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Huish,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Huntshaw,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Langtree,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Little Torrington,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Merton,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Peters Marland,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Petrockstow,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Roborough,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Shebbear,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Sheepwash,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
St. Giles in the Wood,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Weare Giffard,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Winkleigh,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
Yarnscombe,Devon,1837,1936,"See Table 2, note (c).",Torrington,http://www.ukbmd.org.uk/reg/districts/torrington.html
