parish,county,from_year,to_year,comments,district,source_url
Aldingham,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Angerton,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Blawith,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Broughton East,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Broughton West,Lancashire,1837,1974,"See Table 2, notes (c) and (d).",Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Cartmel Fell,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Church Coniston,Lancashire,1837,1894,Abolished 1894 and added to the parish of Coniston.,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Claife,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Colton,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Dalton in Furness,Lancashire,1837,1974,"Abolished 1.4.1974 and added to the Barrow-in-Furness unparished area. See also Table 2, notes (b) and 
    (e).",Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Dunnerdale with Seathwaite,Lancashire,1837,1974,"See Table 2, note (c).",Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Egton with Newland,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Hawkshead with Monk Coniston & Skelwith,Lancashire,1837,1894,"Abolished 1894 and divided into the parishes of Hawkshead, Skelwith and Coniston.",Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Kirkby Ireleth,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Lower Allithwaite,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Lower Holker,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Lowick,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Mansriggs,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Osmotherley,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Pennington,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Satterthwaite,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Staveley,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Subberthwaite,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Torver,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Ulverston,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Upper Allithwaite,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Upper Holker,Lancashire,1837,1949,Abolished 20.5.1949 and added to the parish of Lower Allithwaite.,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
Urswick,Lancashire,1837,1974,,Ulverston,http://www.ukbmd.org.uk/reg/districts/ulverston.html
