parish,county,from_year,to_year,comments,district,source_url
Altofts,Yorkshire West Riding,1837,1938,Abolished 1.4.1938 and added to the parish of Normanton.,Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Alverthorpe with Thornes,Yorkshire West Riding,1837,1894,"Abolished 1894 and divided between the parishes of Alverthorpe 
    and Wakefield.",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Ardsley East,Yorkshire West Riding,1837,1937,"Abolished 1.4.1937 and divided between the parishes of Morley and 
    Stanley. See also Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Ardsley West,Yorkshire West Riding,1837,1937,"Abolished 1.4.1937 and added to the parish of Morley. See 
    also Table 2, notes (e) and (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Chevet,Yorkshire West Riding,1850,1938,"See Table 2, notes (a) and (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Crigglestone,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Crofton,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Emley,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Flockton,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Horbury,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Newland with Woodhouse Moor,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Normanton,Yorkshire West Riding,1837,1938,"See Table 2, notes (g) and (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Oulton with Woodlesford,Yorkshire West Riding,1837,1869,"See also Table 2, note (d).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Sandal Magna,Yorkshire West Riding,1837,1925,Abolished 1.4.1925 and added to the parish of Wakefield.,Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Sharlston,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Shitlington,Yorkshire West Riding,1837,1937,Renamed 1.4.1937 to become the parish of Sitlington.,Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Snydale,Yorkshire West Riding,1837,1862,"See Table 2, note (c).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Stanley cum Wrenthorpe,Yorkshire West Riding,1837,1894,"Abolished 1894 and divided between the parishes of Outwood, Stanley and Wakefield.",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Thorpe,Yorkshire West Riding,1837,1937,Abolished 1.4.1937 and added to the parish of Lofthouse.,Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Wakefield,Yorkshire West Riding,1837,1974,"Abolished 1.4.1974 and added to the Wakefield unparished area. See also Table 
    2, note (k).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Walton,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
Warmfield cum Heath,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
West Bretton,Yorkshire West Riding,1837,1938,"See Table 2, note (j).",Wakefield,http://www.ukbmd.org.uk/reg/districts/wakefield.html
