parish,county,from_year,to_year,comments,district,source_url
Bolas Magna,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Ercall Magna,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Eyton upon the Weald Moors,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Kynnersley,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Longdon upon Tern,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Preston upon the Weald Moors,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Rodington,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Waters Upton,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Wellington,Shropshire,1837,1894,"Abolished 1894 to become the separate parishes of Wellington Urban 
    and Wellington Rural.",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Wombridge,Shropshire,1837,1934,Abolished 1.4.1934 and added to the parish of Oakengates.,Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
Wrockwardine,Shropshire,1837,1974,"See Table 2, note (j).",Wellington Sal,http://www.ukbmd.org.uk/reg/districts/wellington2.html
