parish,county,from_year,to_year,comments,district,source_url
Aintree,Lancashire,1837,1934,"See Table 2, note (g).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Allerton,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, note (d).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Bootle cum Linacre,Lancashire,1837,1934,"See Table 2, note (f).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Childwall,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, note (d).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Croxteth Park,Lancashire,1837,1928,"Abolished 1.4.1928 and added to the parish of Liverpool. 
    See also Table 2, note (h).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Everton,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, notes (d) and (h).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Fazakerley,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, notes (d) and (h).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Garston,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, note (d).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Great Crosby,Lancashire,1837,1934,"See Table 2, note (g).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Ince Blundell,Lancashire,1837,1934,"See Table 2, note (g).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Kirkby,Lancashire,1837,1922,"See Table 2, note (b).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Kirkdale,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, notes (d) and (h).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Litherland,Lancashire,1837,1934,"See Table 2, note (g).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Little Crosby,Lancashire,1837,1932,Abolished 1.4.1932 and added to the parish of Great Crosby.,West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Lunt,Lancashire,1837,1932,Abolished 1.4.1932 and added to the parish of Sefton.,West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Netherton,Lancashire,1837,1934,"See Table 2, note (g).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Orrell & Ford,Lancashire,1837,1905,"Abolished 9.11.1905 to become the separate parishes of Orrell and 
    Ford.",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Sefton,Lancashire,1837,1934,"See Table 2, note (g).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Thornton,Lancashire,1837,1934,"See Table 2, note (g).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Toxteth Park,Lancashire,1837,1880,"See Table 2, note (a).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Walton on the Hill,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, notes (d) and (h).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
Wavertree,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, note (d).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
West Derby,Lancashire,1837,1922,"Abolished 1.4.1922 and added to the parish of Liverpool. 
    See also Table 2, notes (d) and (h).",West Derby,http://www.ukbmd.org.uk/reg/districts/west%20derby.html
