parish,county,from_year,to_year,comments,district,source_url
Bulkington,Wiltshire,1837,1936,"See Table 2, note (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
East Coulston,Wiltshire,1837,1936,"See Table 2, note (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
Edington,Wiltshire,1837,1936,"See Table 2, note (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
Great Hinton,Wiltshire,1837,1936,"See Table 2, notes (b) and (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
Keevil,Wiltshire,1837,1936,"See Table 2, note (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
North Bradley,Wiltshire,1837,1936,"See Table 2, note (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
Southwick,Wiltshire,1837,1936,"See Table 2, note (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
Steeple Ashton,Wiltshire,1837,1936,"See Table 2, notes (c) and (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
West Ashton,Wiltshire,1837,1936,"See Table 2, note (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
Westbury,Wiltshire,1837,1936,"See Table 2, notes (a) and (d).",Westbury,http://www.ukbmd.org.uk/reg/districts/westbury.html
