parish,county,from_year,to_year,comments,district,source_url
Abram,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Ashton in Makerfield,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Aspull,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Billinge Chapel End,Lancashire,1837,1924,"Abolished 1.4.1924 and added to the parish of Billinge & 
    Winstanley.",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Billinge Higher End,Lancashire,1837,1924,"Abolished 1.4.1924 and added to the parish of Billinge & 
    Winstanley.",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Blackrod,Lancashire,1837,1935,"See Table 2, note (a).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Dalton,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Haigh,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Hindley,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Ince in Makerfield,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Orrell,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Parbold,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Pemberton,Lancashire,1837,1920,Abolished 1.4.1920 and added to the parish of Wigan.,Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Shevington,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Standish with Langtree,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Upholland,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Wigan,Lancashire,1837,1974,Abolished 1.4.1974 and added to the Wigan unparished area.,Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Winstanley,Lancashire,1837,1924,"Abolished 1.4.1924 and added to the parish of Billinge & 
    Winstanley.",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Worthington,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
Wrightington,Lancashire,1837,1936,"See Table 2, note (b).",Wigan,http://www.ukbmd.org.uk/reg/districts/wigan.html
