parish,county,from_year,to_year,comments,district,source_url
Chalbury,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Chettle,Dorset,1837,1895,"See Table 2, note (d).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Corfe Mullen,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Cranborne,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
East Woodyates,Dorset,1837,1933,Abolished 1.4.1933 and added to the parish of Pentridge.,Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Edmondsham,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Farnham,Dorset,1837,1895,"See Table 2, note (d).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Gussage All Saints,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Gussage St. Michael,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Hampreston,Dorset,1837,1937,"See Table 2, notes (b), (c) and (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Handley,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Hinton Martell,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Hinton Parva,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Horton,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Long Critchel,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Moor Critchel,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Pentridge,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Shapwick,Dorset,1837,1937,"See Table 2, notes (a) and (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Sturminster Marshall,Dorset,1837,1937,"See Table 2, notes (c) and (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Tollard Farnham,Dorset,1837,1885,Abolished 25.3.1885 and added to the parish of Farnham.,Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
West Parley,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
West Woodyates,Dorset,1837,1933,Abolished 1.4.1933 and added to the parish of Pentridge.,Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Wimborne Minster,Dorset,1837,1937,"See Table 2, notes (b), (c) and (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Wimborne St. Giles,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Witchampton,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
Woodlands,Dorset,1837,1937,"See Table 2, note (f).",Wimborne,http://www.ukbmd.org.uk/reg/districts/wimborne.html
