parish,county,from_year,to_year,comments,district,source_url
Abbas & Templecombe,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Alford,Somerset,1837,1974,"See Table 2, notes (b), (c) and (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Ansford,Somerset,1837,1974,"See Table 2, notes (d) and (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Blackford,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Compton Pauncefoot.,Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Bratton Seymour,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Bruton,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Buckhorn Weston,Dorset,1837,1895,"See Table 2, note (e).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Castle Cary,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Charlton Horethorne,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Charlton Musgrove,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Compton Pauncefoot,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Corton Denham,Somerset,1837,1974,"See Table 2, notes (f) and (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Cucklington,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Eastrip,Somerset,1837,1884,"Abolished 25.3.1884 and divided between the parishes of South Brewham 
    and Bruton.",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Four Towers,Somerset,1837,1885,Abolished 25.3.1885 and added to the parish of South Brewham.,Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Henstridge,Somerset,1837,1974,"See Table 2, notes (f), (g) and (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Holton,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Horsington,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Kington Magna,Dorset,1837,1895,"See Table 2, note (e).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Lovington,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Maperton,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Milborne Port,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
North Barrow,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
North Brewham,Somerset,1837,1933,Abolished 1.4.1933 and added to the parish of Brewham.,Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
North Cadbury,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
North Cheriton,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Penselwood,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
Pitcombe,Somerset,1837,1974,"See Table 2, note (h).",Wincanton,http://www.ukbmd.org.uk/reg/districts/wincanton.html
