parish,county,from_year,to_year,comments,district,source_url
Alderton,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Beckford,Gloucestershire,1837,1931,"Transferred from Gloucestershire to Worcestershire on 1.4.1931. 
    See also Table 2, note (b).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Bishop's Cleeve,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Buckland,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Charlton Abbots,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Sudeley.,Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Cutsdean,Worcestershire,1837,1931,"Transferred from Worcestershire to Gloucestershire on 1.4.1931. 
    See also Table 2, note (d).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Didbrook,Gloucestershire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Stanway 
    toddington.",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Dumbleton,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Gotherington,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Great Washbourne,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Dumbleton.,Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Guiting Power,Gloucestershire,1837,1937,"See Table 2, note (d).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Hailes,Gloucestershire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Stanway 
    toddington.",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Hawling,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Pinnock & Hyde,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Temple Guiting.,Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Prescott,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Roel,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Hawling.,Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Snowshill,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Southam & Brockhampton,Gloucestershire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Southam 
    and Swindon. See also Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Stanley Pontlarge,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Prescott.,Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Stanton,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Stanway,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Sudeley Manor,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Sudeley.,Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Temple Guiting,Gloucestershire,1837,1937,"See Table 2, note (d).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Toddington,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Winchcomb,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Woodmancote,Gloucestershire,1837,1937,"See Table 2, note (c).",Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
Wormington,Gloucestershire,1837,1935,Abolished 1.4.1935 and added to the parish of Dumbleton.,Winchcomb,http://www.ukbmd.org.uk/reg/districts/winchcomb.html
