parish,county,from_year,to_year,comments,district,source_url
Clenchwarton,Norfolk,1837,1938,"See Table 2, notes (c) and (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Elm,Cambridgeshire,1837,1889,"See Table 2, note (k).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Emneth,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Leverington,Cambridgeshire,1837,1889,,Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Newton,Cambridgeshire,1837,1889,,Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Outwell,Cambridgeshire,1837,1889,"In 1889 the Cambridgeshire part of the parish of Outwell became 
    a separate parish in the Isle of Ely. See also Table 2, notes (h) and (h).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Parson Drove,Cambridgeshire,1837,1889,"See Table 2, notes (f) and (g).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Terrington St. Clement,Norfolk,1837,1938,"See Table 2, notes (d), (e) and (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Terrington St. John,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tilney All Saints,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tilney St. Lawrence,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tilney with Islington,Norfolk,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Tilney St. 
    Lawrence and Marshland St. James.",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Tydd St. Giles,Cambridgeshire,1837,1889,"See Table 2, notes (f) and (g).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Upwell,Cambridgeshire,1837,1889,"In 1889 the Cambridgeshire part of the parish of Upwell became 
    a separate parish in the Isle of Ely. See also Table 2, notes (a), (b), 
    (h), (h) and (h).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Walpole St. Andrew,Norfolk,1837,1938,"See Table 2, notes (d) and (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Walpole St. Peter,Norfolk,1837,1938,"See Table 2, notes (d) and (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Walsoken,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
West Walton,Norfolk,1837,1938,"See Table 2, note (i).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Wisbech St. Mary,Cambridgeshire,1837,1889,,Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
Wisbech St. Peter,Cambridgeshire,1837,1889,"Renamed 1.4.1974 to become the parish of Wisbech. See also Table 
    2, note (j).",Wisbech,http://www.ukbmd.org.uk/reg/districts/wisbech.html
