parish,county,from_year,to_year,comments,district,source_url
Alvescot,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Asthal,Oxfordshire,1837,1982,"See Table 2, notes (c) and (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Aston & Cote,Oxfordshire,1837,1932,Abolished 1.4.1932 and added to the parish of Aston Bampton.,Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Bampton,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Black Bourton,Oxfordshire,1837,1971,"Abolished 1.4.1971 and added to the parish of Carterton & 
    Black Bourton.",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Brices Lodge,Oxfordshire,1837,1868,Abolished 25.12.1868 and added to the parish of Leafield.,Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Brighthampton,Oxfordshire,1837,1932,Abolished 1.4.1932 and added to the parish of Standlake.,Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Brize Norton,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Broadwell,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Broughton Poggs,Oxfordshire,1837,1954,"On 20.10.1844 a detached part of the parish of Broughton Poggs became 
    part of Gloucestershire; on 25.3.1886 this same area became part of the 
    parish of Lechlade, so that thereafter Broughton Poggs was again wholly in Oxfordshire. 
    Abolished 1.4.1954 and added to the parish of Filkins & Broughton Poggs. 
    See also Table 2, note (b).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Burford,Oxfordshire,1837,1954,"Abolished 1.4.1954 and added to the parish of Burford & Upton 
    & Signet.",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Chimney,Oxfordshire,1837,1932,Abolished 1.4.1932 and added to the parish of Aston Bampton.,Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Clanfield,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Cogges,Oxfordshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Witney, 
    Ducklington and South Leigh.",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Crawley,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Curbridge,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Ducklington,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Eynsham,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Filkins,Oxfordshire,1837,1886,Abolished 25.3.1886 and added to the parish of Broadwell.,Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Fulbrook,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Hailey,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Hanborough,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Hardwick,Oxfordshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Hardwick 
    with Yelford and Standlake.",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Holwell,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Kencot,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Lew,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Minster Lovell,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
North Leigh,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Northmoor,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Osney Hill,Oxfordshire,1837,1932,Abolished 1.4.1932 and added to the parish of North Leigh.,Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Ramsden,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Shifford,Oxfordshire,1837,1954,"Abolished 1.4.1954 and added to the parish of Aston Bampton 
    & Shifford",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
South Leigh,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Standlake,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Stanton Harcourt,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Stonelands,Oxfordshire,1837,1868,Abolished 25.12.1868 and added to the parish of Shilton.,Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Swinbrook,Oxfordshire,1837,1932,"Abolished 1.4.1932 and divided between the parishes of Swinbrook 
    & Widford, Shilton and Asthal.",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Taynton,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Upton & Signet,Oxfordshire,1837,1954,"Abolished 1.4.1954 and added to the parish of Burford & Upton 
    & Signet.",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Westwell,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Wilcote,Oxfordshire,1837,1932,Abolished 1.4.1932 and added to the parish of North Leigh.,Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Witney,Oxfordshire,1837,1982,"See Table 2, note (g).",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
Yelford,Oxfordshire,1837,1932,"Abolished 1.4.1932 and added to the parish of Hardwick with 
    Yelford.",Witney,http://www.ukbmd.org.uk/reg/districts/witney.html
