parish,county,from_year,to_year,comments,district,source_url
Bradfield,Yorkshire West Riding,1838,1974,"See Table 2, notes (a), (f), (h) and (m).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Cawthorne,Yorkshire West Riding,1850,1910,"See Table 2, notes (b) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Clayton West,Yorkshire West Riding,1850,1910,"See Table 2, notes (b) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Denby,Yorkshire West Riding,1850,1910,"See Table 2, notes (b), (c), (e) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Ecclesfield,Yorkshire West Riding,1838,1974,"See Table 2, notes (a), (d), (f), (j), (k) and (m).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Gunthwaite,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
High Hoyland,Yorkshire West Riding,1850,1910,"See Table 2, notes (b) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Hoyland Swaine,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Hunshelf,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Ingbirchworth,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Kexborough,Yorkshire West Riding,1850,1910,"See Table 2, notes (b) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Langsett,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Oxspring,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Penistone,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Silkstone,Yorkshire West Riding,1850,1910,"See Table 2, notes (b) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Tankersley,Yorkshire West Riding,1838,1974,"See Table 2, notes (a), (i) and (l).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Thurgoland,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Thurlstone,Yorkshire West Riding,1838,1910,"See Table 2, notes (a) and (g).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
Wortley,Yorkshire West Riding,1838,1974,"See Table 2, notes (a) and  (l).",Wortley (1838-1974),http://www.ukbmd.org.uk/reg/districts/wortley.html
