parish,county,from_year,to_year,comments,district,source_url
Acaster Malbis,Yorkshire West Riding,1837,1938,"See Table 2, note (h).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
All Saints North Street,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
All Saints Pavement,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Acomb,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Angram,Yorkshire West Riding,1837,1861,"See Table 2, note (b).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Askham Bryan,Yorkshire West Riding,1837,1869,"See Table 2, note (c).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Askham Richard,Yorkshire West Riding,1837,1938,"See Table 2, note (h).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Beningbrough,Yorkshire North Riding,1837,1895,"See Table 2, note (e).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Bishopthorpe,Yorkshire West Riding,1837,1938,"See Table 2, note (h).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Bossall with Buttercrambe,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Claxton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Clifton,Yorkshire North Riding,1837,1894,"Abolished 1894 to become the separate parishes of Clifton Within 
    and Clifton Without.",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Copmanthorpe,Yorkshire West Riding,1837,1938,"See Table 2, note (h).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Davy Hall,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Deighton,Yorkshire East Riding,1837,1937,"See Table 2, note (g).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Dringhouses,Yorkshire West Riding,1837,1894,"Abolished 1894 to become the separate parishes of Dringhouses 
    Within and Dringhouses Without.",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Dringhouses Without,Yorkshire West Riding,1837,1937,"Created 1894 from the rural part of the parish of Dringhouses. 
    Abolished 1.4.1937 and added to the parish of Askham Bryan. See also Table 
    2, note (h).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Dunnington,Yorkshire East Riding,1837,1937,"See Table 2, note (g).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Earswick,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Elvington,Yorkshire East Riding,1837,1937,"See Table 2, note (g).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Escrick,Yorkshire East Riding,1837,1937,"See Table 2, note (g).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Flaxton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Gate Fulford,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Gate Helmsley,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Grimston,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Dunnington.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Harton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Haxby,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Heslington St. Lawrence,Yorkshire East Riding,1837,1884,Abolished 25.3.1884 and added to the parish of Heslington.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Heslington St. Paul,Yorkshire East Riding,1837,1884,Abolished 25.3.1884 and added to the parish of Heslington.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Hessay,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Heworth,Yorkshire North Riding,1837,1894,"Abolished 1894 to become the separate parishes of Heworth Within 
    and Heworth Without.",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Holgate,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Holtby,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Holy Trinity Goodramgate,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Holy Trinity King's Court,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Holy Trinity Micklegate,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Huntington,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Hutton Wandesley,Yorkshire West Riding,1837,1869,"See Table 2, note (d).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Kexby,Yorkshire East Riding,1837,1937,"See Table 2, note (g).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Knapton,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Langwith,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Heslington.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Lillings Ambo,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Middlethorpe,Yorkshire West Riding,1837,1894,"Abolished 1894 to become the separate parishes of Middlethorpe 
    Within and Middlethorpe Without.",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Middlethorpe Without,Yorkshire West Riding,1837,1937,"Created 1894 from the rural part of the parish of Middlethorpe. 
    Abolished 1.4.1937 and added to the parish of York.",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Minster Yard with Bedern,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Mint Yard,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Moor Monkton,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Murton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Naburn,Yorkshire East Riding,1837,1937,"See Table 2, note (g).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Nether Poppleton,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Osbaldwick,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Overton,Yorkshire North Riding,1837,1895,"See Table 2, note (e).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Rawcliffe,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Rufforth,Yorkshire West Riding,1837,1854,"See Table 2, note (a).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Sand Hutton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Shipton,Yorkshire North Riding,1837,1854,"See Table 2, note (a).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
Skelton,Yorkshire North Riding,1837,1936,"See Table 2, note (f).",York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
St. Andrew,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
St. Crux,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
St. Cuthbert,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
St. Dennis,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
St. George,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
St. Giles in the Suburbs,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
St. Helen Stonegate,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
St. John Delpike,Yorkshire East Riding,1837,1900,Abolished 26.3.1900 and added to the parish of York.,York (1837-1937),http://www.ukbmd.org.uk/reg/districts/york.html
