year,district,active_parish_rows,active_unique_parishes,matched_parish_rows,matched_unique_parishes,matched_share,usable_1851_backbone
1851,Aberayron,14,14,7,7,0.5,1
1851,Abergavenny,27,27,17,17,0.6296296296296297,1
1851,Aberystwyth,30,30,22,22,0.7333333333333333,1
1851,Abingdon,40,40,34,34,0.85,1
1851,Alcester,22,22,20,20,0.9090909090909091,1
1851,Alderbury,26,26,23,23,0.8846153846153846,1
1851,Alnwick,62,62,59,59,0.9516129032258065,1
1851,Alresford,19,19,19,19,1.0,1
1851,Alston,1,1,0,0,0.0,0
1851,Alton (1837 onw),20,20,19,19,0.95,1
1851,Altrincham,39,39,34,34,0.8717948717948718,1
1851,Alverstoke,1,1,1,1,1.0,1
1851,Amersham,11,11,11,11,1.0,1
1851,Amesbury,23,23,20,20,0.8695652173913043,1
1851,Ampthill,19,19,19,19,1.0,1
1851,Andover,33,33,27,27,0.8181818181818182,1
1851,Anglesey (1837-1937),56,56,43,43,0.7678571428571429,1
1851,Anglesey (1968-1974),56,56,43,43,0.7678571428571429,1
1851,Ashbourne,63,63,54,54,0.8571428571428571,1
1851,Ashby de la Zouch,27,27,21,21,0.7777777777777778,1
1851,Ashton under Lyne (1848-1937),13,13,12,12,0.9230769230769231,1
1851,Askrigg,15,15,15,15,1.0,1
1851,Aston (1837-1924),5,5,5,5,1.0,1
1851,Atcham,44,44,41,41,0.9318181818181818,1
1851,Atherstone,17,17,17,17,1.0,1
1851,Auckland,33,33,28,28,0.8484848484848485,1
1851,Axbridge,39,39,37,37,0.9487179487179487,1
1851,Axminster,15,15,13,13,0.8666666666666667,1
1851,Aylesbury,40,40,37,37,0.925,1
1851,Aylsham,46,46,44,44,0.9565217391304348,1
1851,Bakewell (1839 onw),60,60,54,54,0.9,1
1851,Bala,5,5,5,5,1.0,1
1851,Banbury,50,50,48,48,0.96,1
1851,Bangor,21,21,19,19,0.9047619047619048,1
1851,Barnet,10,10,10,10,1.0,1
1851,Barnsley,17,17,17,17,1.0,1
1851,Barnstaple,40,40,39,39,0.975,1
1851,Barrow upon Soar,38,38,32,32,0.8421052631578947,1
1851,Barton upon Irwell (1850-1934),6,6,6,6,1.0,1
1851,Basford,44,44,43,43,0.9772727272727273,1
1851,Basingstoke,39,39,38,38,0.9743589743589743,1
1851,Bath,24,24,23,23,0.9583333333333334,1
1851,Battle,14,14,14,14,1.0,1
1851,Beaminster,26,26,26,26,1.0,1
1851,Bedale,24,24,17,17,0.7083333333333334,1
1851,Bedford,45,45,43,43,0.9555555555555556,1
1851,Bedminster,23,23,23,23,1.0,1
1851,Belford,32,32,31,31,0.96875,1
1851,Bellingham,37,37,31,31,0.8378378378378378,1
1851,Belper,35,35,31,31,0.8857142857142857,1
1851,Berkhampstead (1837-1939),10,10,9,9,0.9,1
1851,Bermondsey (1837-69),1,1,0,0,0.0,0
1851,Bermondsey (1934 onw),1,1,0,0,0.0,0
1851,Berwick,1,1,1,1,1.0,1
1851,Bethnal Green,1,1,0,0,0.0,0
1851,Beverley (1837-1937),36,36,30,30,0.8333333333333334,1
1851,Beverley (1974 onw),36,36,30,30,0.8333333333333334,1
1851,Bicester,36,36,33,33,0.9166666666666666,1
1851,Bideford,19,19,19,19,1.0,1
1851,Biggleswade,28,28,27,27,0.9642857142857143,1
1851,Billericay,25,25,25,25,1.0,1
1851,Billesdon,38,38,34,34,0.8947368421052632,1
1851,Bingham,42,42,40,40,0.9523809523809523,1
1851,Birmingham (1837-1924),1,1,0,0,0.0,0
1851,Birmingham (1932 onw),1,1,0,0,0.0,0
1851,Bishops Stortford,20,20,19,19,0.95,1
1851,Blaby,27,27,25,25,0.9259259259259259,1
1851,Blackburn,24,24,24,24,1.0,1
1851,Blandford,34,34,33,33,0.9705882352941176,1
1851,Blean,16,16,14,14,0.875,1
1851,Blofield,32,32,27,27,0.84375,1
1851,Blything,49,49,47,47,0.9591836734693877,1
1851,Bodmin,21,21,21,21,1.0,1
1851,Bolton,26,26,23,23,0.8846153846153846,1
1851,Bootle Cul,12,12,8,8,0.6666666666666666,1
1851,Bosmere,37,37,31,31,0.8378378378378378,1
1851,Boston,47,47,35,35,0.7446808510638298,1
1851,Bourne (1837-1933),37,37,35,35,0.9459459459459459,1
1851,Bourne (1974 onw),37,37,35,35,0.9459459459459459,1
1851,Brackley,29,29,28,28,0.9655172413793104,1
1851,Bradfield,29,29,26,26,0.896551724137931,1
1851,Bradford,21,21,18,18,0.8571428571428571,1
1851,Bradford upon Avon,9,9,9,9,1.0,1
1851,Braintree,14,14,14,14,1.0,1
1851,Brampton,17,17,14,14,0.8235294117647058,1
1851,Brecknock,43,43,24,24,0.5581395348837209,1
1851,Brentford,10,10,10,10,1.0,1
1851,Bridge,25,25,21,21,0.84,1
