year,district,active_parish_rows,active_unique_parishes,matched_parish_rows,matched_unique_parishes,matched_share,usable_1851_backbone
1987,Poole (1959 onw),57,57,1,1,0.0175438596491228,1
1987,Poole (to 1958),57,57,1,1,0.0175438596491228,1
1988,Poole (1959 onw),57,57,1,1,0.0175438596491228,1
1988,Poole (to 1958),57,57,1,1,0.0175438596491228,1
1989,Poole (1959 onw),57,57,1,1,0.0175438596491228,1
1989,Poole (to 1958),57,57,1,1,0.0175438596491228,1
1990,Poole (1959 onw),57,57,1,1,0.0175438596491228,1
1990,Poole (to 1958),57,57,1,1,0.0175438596491228,1
1974,Poole (1959 onw),90,90,2,2,0.0222222222222222,1
1974,Poole (to 1958),90,90,2,2,0.0222222222222222,1
1956,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1956,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1957,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1957,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1958,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1958,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1959,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1959,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1960,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1960,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1961,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1961,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1962,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1962,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1963,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1963,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1964,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1964,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1965,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1965,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1966,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1966,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1967,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1967,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1968,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1968,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1969,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1969,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1970,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1970,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1971,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1971,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1972,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1972,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1973,Poole (1959 onw),88,88,2,2,0.0227272727272727,1
1973,Poole (to 1958),88,88,2,2,0.0227272727272727,1
1986,Poole (1959 onw),59,59,2,2,0.0338983050847457,1
1986,Poole (to 1958),59,59,2,2,0.0338983050847457,1
1984,Poole (1959 onw),58,58,2,2,0.0344827586206896,1
1984,Poole (to 1958),58,58,2,2,0.0344827586206896,1
1975,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1975,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1976,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1976,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1977,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1977,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1978,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1978,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1979,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1979,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1980,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1980,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1981,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1981,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1982,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1982,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1983,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1983,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1985,Poole (1959 onw),57,57,2,2,0.0350877192982456,1
1985,Poole (to 1958),57,57,2,2,0.0350877192982456,1
1974,Blackburn,15,15,1,1,0.0666666666666666,1
1937,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1937,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1938,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1938,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1939,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1939,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1940,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1940,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1941,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1941,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1942,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1942,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1943,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1943,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1944,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1944,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1945,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1945,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1946,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1946,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1947,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1947,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1948,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1948,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1949,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1949,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1950,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1950,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1951,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1951,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1952,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1952,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1953,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1953,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1954,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1954,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1955,Poole (1959 onw),29,29,2,2,0.0689655172413793,1
1955,Poole (to 1958),29,29,2,2,0.0689655172413793,1
1959,Pontypool,28,28,2,2,0.0714285714285714,1
1960,Pontypool,28,28,2,2,0.0714285714285714,1
1961,Pontypool,28,28,2,2,0.0714285714285714,1
1962,Pontypool,28,28,2,2,0.0714285714285714,1
1963,Pontypool,28,28,2,2,0.0714285714285714,1
1964,Pontypool,28,28,2,2,0.0714285714285714,1
1965,Pontypool,28,28,2,2,0.0714285714285714,1
1966,Pontypool,28,28,2,2,0.0714285714285714,1
1967,Pontypool,28,28,2,2,0.0714285714285714,1
1968,Pontypool,28,28,2,2,0.0714285714285714,1
1969,Pontypool,28,28,2,2,0.0714285714285714,1
1970,Pontypool,28,28,2,2,0.0714285714285714,1
1971,Pontypool,28,28,2,2,0.0714285714285714,1
1972,Pontypool,28,28,2,2,0.0714285714285714,1
1973,Pontypool,28,28,2,2,0.0714285714285714,1
1974,Pontypool,28,28,2,2,0.0714285714285714,1
1922,Wolstanton,11,11,1,1,0.0909090909090909,1
1894,Wolstanton,10,10,1,1,0.1,1
1895,Wolstanton,10,10,1,1,0.1,1
1896,Wolstanton,10,10,1,1,0.1,1
1897,Wolstanton,10,10,1,1,0.1,1
1898,Wolstanton,10,10,1,1,0.1,1
1899,Wolstanton,10,10,1,1,0.1,1
1900,Wolstanton,10,10,1,1,0.1,1
1901,Wolstanton,10,10,1,1,0.1,1
1902,Wolstanton,10,10,1,1,0.1,1
1903,Wolstanton,10,10,1,1,0.1,1
1904,Wolstanton,10,10,1,1,0.1,1
1905,Wolstanton,10,10,1,1,0.1,1
1906,Wolstanton,10,10,1,1,0.1,1
1907,Wolstanton,10,10,1,1,0.1,1
1908,Wolstanton,10,10,1,1,0.1,1
1909,Wolstanton,10,10,1,1,0.1,1
1910,Wolstanton,10,10,1,1,0.1,1
1911,Wolstanton,10,10,1,1,0.1,1
1912,Wolstanton,10,10,1,1,0.1,1
1913,Wolstanton,10,10,1,1,0.1,1
1914,Wolstanton,10,10,1,1,0.1,1
1915,Wolstanton,10,10,1,1,0.1,1
1916,Wolstanton,10,10,1,1,0.1,1
1917,Wolstanton,10,10,1,1,0.1,1
1918,Wolstanton,10,10,1,1,0.1,1
1919,Wolstanton,10,10,1,1,0.1,1
1920,Wolstanton,10,10,1,1,0.1,1
1921,Wolstanton,10,10,1,1,0.1,1
1939,Hendon (1837-1947),8,8,1,1,0.125,1
1939,Hendon (1947-1999),8,8,1,1,0.125,1
1940,Hendon (1837-1947),8,8,1,1,0.125,1
1940,Hendon (1947-1999),8,8,1,1,0.125,1
1941,Hendon (1837-1947),8,8,1,1,0.125,1
1941,Hendon (1947-1999),8,8,1,1,0.125,1
1942,Hendon (1837-1947),8,8,1,1,0.125,1
1942,Hendon (1947-1999),8,8,1,1,0.125,1
1943,Hendon (1837-1947),8,8,1,1,0.125,1
1943,Hendon (1947-1999),8,8,1,1,0.125,1
1944,Hendon (1837-1947),8,8,1,1,0.125,1
1944,Hendon (1947-1999),8,8,1,1,0.125,1
1945,Hendon (1837-1947),8,8,1,1,0.125,1
1945,Hendon (1947-1999),8,8,1,1,0.125,1
1946,Hendon (1837-1947),8,8,1,1,0.125,1
1946,Hendon (1947-1999),8,8,1,1,0.125,1
1947,Hendon (1837-1947),8,8,1,1,0.125,1
1947,Hendon (1947-1999),8,8,1,1,0.125,1
1982,Loughborough,24,24,3,3,0.125,1
1983,Loughborough,24,24,3,3,0.125,1
1984,Loughborough,24,24,3,3,0.125,1
1985,Loughborough,24,24,3,3,0.125,1
1986,Loughborough,24,24,3,3,0.125,1
1987,Loughborough,24,24,3,3,0.125,1
1988,Loughborough,24,24,3,3,0.125,1
1988,Mansfield,8,8,1,1,0.125,1
1989,Loughborough,24,24,3,3,0.125,1
1990,Loughborough,24,24,3,3,0.125,1
1936,Wellington Sal,39,39,5,5,0.1282051282051282,1
1966,Wellington Sal,39,39,5,5,0.1282051282051282,1
1937,Mere,23,23,3,3,0.1304347826086956,1
1938,Mere,23,23,3,3,0.1304347826086956,1
1939,Mere,23,23,3,3,0.1304347826086956,1
1940,Mere,23,23,3,3,0.1304347826086956,1
1941,Mere,23,23,3,3,0.1304347826086956,1
1942,Mere,23,23,3,3,0.1304347826086956,1
1943,Mere,23,23,3,3,0.1304347826086956,1
1944,Mere,23,23,3,3,0.1304347826086956,1
1945,Mere,23,23,3,3,0.1304347826086956,1
1946,Mere,23,23,3,3,0.1304347826086956,1
1947,Mere,23,23,3,3,0.1304347826086956,1
1948,Mere,23,23,3,3,0.1304347826086956,1
1949,Mere,23,23,3,3,0.1304347826086956,1
1950,Mere,23,23,3,3,0.1304347826086956,1
1951,Mere,23,23,3,3,0.1304347826086956,1
1952,Mere,23,23,3,3,0.1304347826086956,1
