district,rows,matched,match_rate
Westminster St Margaret,2,0,0.0
Alston,1,0,0.0
Bermondsey (1837-69),1,0,0.0
Bermondsey (1934 onw),1,0,0.0
Bethnal Green,1,0,0.0
Birmingham (1837-1924),1,0,0.0
Birmingham (1932 onw),1,0,0.0
Brighton,1,0,0.0
Chelsea (1837 only),1,0,0.0
Chelsea (1841-1981),1,0,0.0
Clerkenwell,1,0,0.0
Hampstead,1,0,0.0
Islington,1,0,0.0
Lambeth,1,0,0.0
Liverpool (1837-1934),1,0,0.0
Liverpool (1969 onw),1,0,0.0
Marylebone (1837-1901),1,0,0.0
Rotherhithe (to 1869),1,0,0.0
Saddleworth,1,0,0.0
Shoreditch,1,0,0.0
St George Hanover Square,1,0,0.0
St George Southwark,1,0,0.0
St George in the East,1,0,0.0
St Giles,1,0,0.0
St James Westminster,1,0,0.0
St Luke,1,0,0.0
Stoke Damerel,1,0,0.0
Whittlesey,1,0,0.0
Yarmouth (1837-1923),1,0,0.0
Holborn,8,2,0.25
Kensington,4,1,0.25
Rochdale,6,2,0.3333333333333333
Sedbergh,3,1,0.3333333333333333
Holywell,14,5,0.35714285714285715
Rhayader,10,4,0.4
Edmonton,5,2,0.4
Stepney (1926-82),5,2,0.4
Stepney (to 1921),5,2,0.4
Llanelly (to 1974),9,4,0.4444444444444444
Llanfyllin,22,11,0.5
Aberayron,14,7,0.5
Crickhowell,10,5,0.5
Whitechapel,10,5,0.5
Hayfield,6,3,0.5
Greenwich,4,2,0.5
Weardale,4,2,0.5
West Bromwich,4,2,0.5
Hackney,2,1,0.5
Wolstanton,2,1,0.5
Norwich,43,22,0.5116279069767442
Wangford,27,14,0.5185185185185185
Newtown,17,9,0.5294117647058824
Knighton,20,11,0.55
Llanrwst,18,10,0.5555555555555556
Brecknock,43,24,0.5581395348837209
Carnarvon,16,9,0.5625
Oswestry,14,8,0.5714285714285714
Pwllheli (to 1937),33,19,0.5757575757575758
Conway (to 1937),15,9,0.6
Nottingham,5,3,0.6
Warrington,16,10,0.625
Abergavenny,27,17,0.6296296296296297
Llandovery,11,7,0.6363636363636364
Wellington Sal,11,7,0.6363636363636364
West London,11,7,0.6363636363636364
Longtown,14,9,0.6428571428571429
Bootle Cul,12,8,0.6666666666666666
Mere,12,8,0.6666666666666666
Merthyr Tydfil,9,6,0.6666666666666666
Strand (1837-1913),9,6,0.6666666666666666
Shrewsbury (1837-71),6,4,0.6666666666666666
Shrewsbury (1935 onw),6,4,0.6666666666666666
South Shields,6,4,0.6666666666666666
Poplar (to 1965),3,2,0.6666666666666666
Portsea Island (1837-1900),3,2,0.6666666666666666
St Olave Southwark (1837-1901),3,2,0.6666666666666666
Stoke upon Trent,3,2,0.6666666666666666
Tregaron,22,15,0.6818181818181818
St Asaph,16,11,0.6875
Dolgelly,13,9,0.6923076923076923
Leicester (1837-1974),13,9,0.6923076923076923
Wakefield,23,16,0.6956521739130435
Carlisle,20,14,0.7
Haslingden,10,7,0.7
Bedale,24,17,0.7083333333333334
Hay,24,17,0.7083333333333334
Wigton,31,22,0.7096774193548387
London City,97,69,0.711340206185567
Ulverston,28,20,0.7142857142857143
Church Stretton,14,10,0.7142857142857143
Lampeter,14,10,0.7142857142857143
Worcester,14,10,0.7142857142857143
Derby,7,5,0.7142857142857143
Sheppey,7,5,0.7142857142857143
West Ham,7,5,0.7142857142857143
Windsor,7,5,0.7142857142857143
Montgomery,25,18,0.72
York (1837-1937),97,70,0.7216494845360825
York (1938 onw),97,70,0.7216494845360825
Lichfield,36,26,0.7222222222222222
Bristol,18,13,0.7222222222222222
Pontypool,22,16,0.7272727272727273
Machynlleth,11,8,0.7272727272727273
Pateley Bridge,11,8,0.7272727272727273
Burnley,26,19,0.7307692307692307
Aberystwyth,30,22,0.7333333333333333
Corwen,15,11,0.7333333333333333
Huddersfield,34,25,0.7352941176470589
Clun,23,17,0.7391304347826086
Fylde,23,17,0.7391304347826086
Boston,47,35,0.7446808510638298
Canterbury,20,15,0.75
Clifton,12,9,0.75
Hatfield,8,6,0.75
Poole (1959 onw),8,6,0.75
Poole (to 1958),8,6,0.75
Walsall,8,6,0.75
Sheffield,4,3,0.75
Ruthin,21,16,0.7619047619047619
Uttoxeter,21,16,0.7619047619047619
Cardiff (1837-1974),47,36,0.7659574468085106
Cardiff (1996 onw),47,36,0.7659574468085106
Anglesey (1837-1937),56,43,0.7678571428571429
Anglesey (1968-1974),56,43,0.7678571428571429
St Germans,13,10,0.7692307692307693
Newport M,40,31,0.775
Ashby de la Zouch,27,21,0.7777777777777778
Newbury,18,14,0.7777777777777778
Newcastle under Lyme,9,7,0.7777777777777778
Pocklington (1837-1937),47,37,0.7872340425531915
Pocklington (1974 onw),47,37,0.7872340425531915
Halifax,19,15,0.7894736842105263
Carmarthen,29,23,0.7931034482758621
Skipton (to 1946),50,40,0.8
Clitheroe,35,28,0.8
Builth,30,24,0.8
Neath (1837-1970),30,24,0.8
Neath (1974 onw),30,24,0.8
Leigh,10,8,0.8
Dudley (1913-35),5,4,0.8
Dudley (1935-66),5,4,0.8
Dudley (1966 onw),5,4,0.8
Dudley (to 1912),5,4,0.8
East London,5,4,0.8
Easthampstead (1837-1937),5,4,0.8
Easthampstead (1967-74),5,4,0.8
Loughborough,26,21,0.8076923076923077
Stratford upon Avon,37,30,0.8108108108108109
Ludlow,32,26,0.8125
Houghton le Spring,16,13,0.8125
Cardigan,27,22,0.8148148148148148
Leominster,27,22,0.8148148148148148
Andover,33,27,0.8181818181818182
Headington,22,18,0.8181818181818182
Newcastle in Emlyn,22,18,0.8181818181818182
Farnborough (1847-69),11,9,0.8181818181818182
Holbeach,11,9,0.8181818181818182
Sunderland,11,9,0.8181818181818182
Chipping Norton,34,28,0.8235294117647058
Brampton,17,14,0.8235294117647058
Chapel en le Frith,17,14,0.8235294117647058
Wolverhampton,17,14,0.8235294117647058
Lancaster,46,38,0.8260869565217391
Ross,29,24,0.8275862068965517
Lincoln,99,82,0.8282828282828283
Howden (1837-1937),42,35,0.8333333333333334
Beverley (1837-1937),36,30,0.8333333333333334
Beverley (1974 onw),36,30,0.8333333333333334
East Ward,30,25,0.8333333333333334
Evesham,30,25,0.8333333333333334
Luton,12,10,0.8333333333333334
Catherington,6,5,0.8333333333333334
Ringwood (to 1932),6,5,0.8333333333333334
Todmorden,6,5,0.8333333333333334
Bellingham,37,31,0.8378378378378378
Bosmere,37,31,0.8378378378378378
Settle,31,26,0.8387096774193549
Bridge,25,21,0.84
Pickering,25,21,0.84
Barrow upon Soar,38,32,0.8421052631578947
Sturminster (1959 to 1974),19,16,0.8421052631578947
Sturminster (to 1958),19,16,0.8421052631578947
Narberth,51,43,0.8431372549019608
Blofield,32,27,0.84375
Droitwich,32,27,0.84375
Hartley Wintney,13,11,0.8461538461538461
Tetbury,13,11,0.8461538461538461
Auckland,33,28,0.8484848484848485
Monmouth (1837-1939),33,28,0.8484848484848485
Abingdon,40,34,0.85
Swansea,27,23,0.8518518518518519
Tamworth,27,23,0.8518518518518519
Presteigne (1837-77),41,35,0.8536585365853658
Ripon,55,47,0.8545454545454545
Haverfordwest,69,59,0.855072463768116
Ashbourne,63,54,0.8571428571428571
Leyburn,42,36,0.8571428571428571
Skirlaugh,42,36,0.8571428571428571
Bradford,21,18,0.8571428571428571
Cricklade,14,12,0.8571428571428571
Market Drayton,14,12,0.8571428571428571
Cookham,7,6,0.8571428571428571
East Grinstead,7,6,0.8571428571428571
Hoo,7,6,0.8571428571428571
Lymington,7,6,0.8571428571428571
Medway (1837-1941),7,6,0.8571428571428571
Medway (1998 onw),7,6,0.8571428571428571
Reeth,7,6,0.8571428571428571
Rothbury,71,61,0.8591549295774648
Cockermouth,50,43,0.86
Malton,65,56,0.8615384615384616
Buckingham,29,25,0.8620689655172413
Devizes,29,25,0.8620689655172413
Faringdon,29,25,0.8620689655172413
Pembroke,29,25,0.8620689655172413
Hungerford,22,19,0.8636363636363636
Henstead,37,32,0.8648648648648649
Runcorn,37,32,0.8648648648648649
Axminster,15,13,0.8666666666666667
Cheadle,15,13,0.8666666666666667
Ffestiniog,15,13,0.8666666666666667
North Aylesford,15,13,0.8666666666666667
Potterspury,15,13,0.8666666666666667
Ware,15,13,0.8666666666666667
Westbury on Severn,15,13,0.8666666666666667
Cirencester,38,33,0.868421052631579
Tadcaster,46,40,0.8695652173913043
Amesbury,23,20,0.8695652173913043
Garstang,23,20,0.8695652173913043
Hunslet (1845-1929),23,20,0.8695652173913043
Wilton,23,20,0.8695652173913043
Helmsley,54,47,0.8703703703703703
Easingwold,31,27,0.8709677419354839
Altrincham,39,34,0.8717948717948718
Wrexham (1837-1974),56,49,0.875
Wrexham (1996 onw),56,49,0.875
Chepstow,40,35,0.875
Gloucester (1837-1937),40,35,0.875
Gloucester (1974 onw),40,35,0.875
Blean,16,14,0.875
Shifnal,16,14,0.875
St Columb,16,14,0.875
Stroud (1837 onw),16,14,0.875
Oldham,8,7,0.875
Whitchurch H,8,7,0.875
Kendal (1837-1937),58,51,0.8793103448275862
Kendal (1974 onw),58,51,0.8793103448275862
Faversham,25,22,0.88
Hemsworth,25,22,0.88
Whitehaven,25,22,0.88
Bromyard,34,30,0.8823529411764706
Chard,34,30,0.8823529411764706
Cleobury Mortimer,17,15,0.8823529411764706
Northwich,60,53,0.8833333333333333
Alderbury,26,23,0.8846153846153846
Bolton,26,23,0.8846153846153846
Ongar,26,23,0.8846153846153846
Stow on the Wold,26,23,0.8846153846153846
Great Boughton,113,100,0.8849557522123894
Belper,35,31,0.8857142857142857
Pontefract,44,39,0.8863636363636364
Sudbury,44,39,0.8863636363636364
Grantham (1837-1933),54,48,0.8888888888888888
Grantham (1974 onw),54,48,0.8888888888888888
Glendale,45,40,0.8888888888888888
Selby,27,24,0.8888888888888888
Wareham,27,24,0.8888888888888888
Ellesmere,18,16,0.8888888888888888
Helston,18,16,0.8888888888888888
Hertford,18,16,0.8888888888888888
Orsett,18,16,0.8888888888888888
Stockbridge (to 1932),18,16,0.8888888888888888
Chertsey,9,8,0.8888888888888888
South Stoneham,9,8,0.8888888888888888
Doncaster,56,50,0.8928571428571429
Daventry,28,25,0.8928571428571429
Preston,28,25,0.8928571428571429
Billesdon,38,34,0.8947368421052632
Easington,19,17,0.8947368421052632
Knaresborough,58,52,0.896551724137931
Bradfield,29,26,0.896551724137931
Frome,29,26,0.896551724137931
St Neots,29,26,0.896551724137931
Worksop,29,26,0.896551724137931
Penrith,39,35,0.8974358974358975
Bakewell (1839 onw),60,54,0.9
Flegg,20,18,0.9
Plympton St Mary,20,18,0.9
Sculcoates,20,18,0.9
Berkhampstead (1837-1939),10,9,0.9
New Forest,10,9,0.9
Romford,10,9,0.9
Bridgwater,41,37,0.9024390243902439
Darlington,41,37,0.9024390243902439
Richmond Yk,41,37,0.9024390243902439
Thirsk,42,38,0.9047619047619048
Bangor,21,19,0.9047619047619048
Elham,21,19,0.9047619047619048
Mansfield,21,19,0.9047619047619048
Thornbury,21,19,0.9047619047619048
Warminster,21,19,0.9047619047619048
Bridlington (1837-1937),32,29,0.90625
Bridlington (1974 onw),32,29,0.90625
Driffield,43,39,0.9069767441860465
Lewes,43,39,0.9069767441860465
Stockton (to 1938),65,59,0.9076923076923077
Alcester,22,20,0.9090909090909091
Guildford,22,20,0.9090909090909091
Leek,22,20,0.9090909090909091
West Ward,22,20,0.9090909090909091
Bromsgrove,11,10,0.9090909090909091
Dewsbury,11,10,0.9090909090909091
Hailsham,11,10,0.9090909090909091
Rye,11,10,0.9090909090909091
Stratton,11,10,0.9090909090909091
Uckfield,11,10,0.9090909090909091
Bridgend (1996 onw),56,51,0.9107142857142857
Bridgend (to 1970),56,51,0.9107142857142857
Forehoe,23,21,0.9130434782608695
Malmesbury,23,21,0.9130434782608695
Midhurst (to 1935),23,21,0.9130434782608695
Tewkesbury,23,21,0.9130434782608695
Torrington,23,21,0.9130434782608695
West Derby,23,21,0.9130434782608695
Morpeth,71,65,0.9154929577464789
Hexham,72,66,0.9166666666666666
Dorchester,60,55,0.9166666666666666
Shardlow,48,44,0.9166666666666666
Bicester,36,33,0.9166666666666666
Brixworth,36,33,0.9166666666666666
Saffron Walden,24,22,0.9166666666666666
Shepton Mallet,24,22,0.9166666666666666
Bury,12,11,0.9166666666666666
Chorlton,12,11,0.9166666666666666
Fordingbridge,12,11,0.9166666666666666
Kidderminster,12,11,0.9166666666666666
Llandilofawr,12,11,0.9166666666666666
Madeley,12,11,0.9166666666666666
Oundle,37,34,0.918918918918919
Westhampnett,37,34,0.918918918918919
East Retford,50,46,0.92
Woodbridge,50,46,0.92
Erpingham,51,47,0.9215686274509803
Caxton,26,24,0.9230769230769231
Stafford,26,24,0.9230769230769231
Wimborne,26,24,0.9230769230769231
Ashton under Lyne (1848-1937),13,12,0.9230769230769231
Cheltenham,13,12,0.9230769230769231
Hastings (1837-1977),13,12,0.9230769230769231
Kingston,13,12,0.9230769230769231
Manchester (1837-1924),13,12,0.9230769230769231
Manchester (1939 onw),13,12,0.9230769230769231
Mildenhall,13,12,0.9230769230769231
Petersfield,13,12,0.9230769230769231
Romsey (1837-1932),13,12,0.9230769230769231
Romsey (1974 onw),13,12,0.9230769230769231
Wem,13,12,0.9230769230769231
Wokingham,13,12,0.9230769230769231
Spilsby,66,61,0.9242424242424242
Hereford,80,74,0.925
Aylesbury,40,37,0.925
Tiverton,40,37,0.925
Glanford Brigg,54,50,0.9259259259259259
Blaby,27,25,0.9259259259259259
Patrington,27,25,0.9259259259259259
Rotherham,27,25,0.9259259259259259
Winchcomb,27,25,0.9259259259259259
Worthing (1837-69),27,25,0.9259259259259259
Worthing (1935 onw),27,25,0.9259259259259259
Wirral (1837-1974),56,52,0.9285714285714286
Rugby,42,39,0.9285714285714286
Cambridge (1837-1935),14,13,0.9285714285714286
Cambridge (1974 onw),14,13,0.9285714285714286
Wheatenhurst,14,13,0.9285714285714286
Depwade,43,40,0.9302325581395349
Witney,43,40,0.9302325581395349
Clutton,29,27,0.9310344827586207
Newmarket (1938-1989),29,27,0.9310344827586207
Newmarket (to 1938),29,27,0.9310344827586207
Atcham,44,41,0.9318181818181818
Teesdale,44,41,0.9318181818181818
