year,n_districts,total_active_rows,share_usable,median_matched_share,p10_matched_share,p90_matched_share,d_share_usable,d_n_districts
1975,239,6719,0.41841004184100417,0.0,0.0,0.7016666666666668,0.0029965080064177085,-293.0
1890,600,13886,0.9266666666666666,0.8976975405546834,0.5,1.0,0.018247168882323916,-77.0
1966,498,11759,0.4779116465863454,0.0,0.0,0.8571428571428571,0.015086367775936471,-40.0
1938,574,12921,0.5662020905923345,0.3823076923076923,0.0,0.8941729323308272,-0.0526097905957843,-32.0
1937,606,13844,0.6188118811881188,0.5,0.0,0.8982758620689655,-0.06106133592757057,-25.0
1933,619,13446,0.7819063004846527,0.7368421052631579,0.0,0.9473684210526316,-0.0124422081495702,-18.0
1942,529,12349,0.5066162570888468,0.125,0.0,0.8836601307189541,-0.014407508907496869,-18.0
1940,543,12393,0.5248618784530387,0.2222222222222222,0.0,0.9,-0.004655116180235064,-16.0
1939,559,12696,0.5295169946332737,0.25,0.0,0.8888888888888888,-0.036685095959060776,-15.0
1870,676,16087,0.9275147928994083,0.9066133720930232,0.5,1.0,0.002768049049914789,-15.0
1936,631,13984,0.6798732171156894,0.6,0.0,0.9130434782608696,-0.032201086289883385,-15.0
1986,236,6930,0.3771186440677966,0.0,0.0,0.6535714285714286,-0.004995177070414802,-10.0
1967,489,11712,0.4785276073619632,0.0,0.0,0.8469230769230769,0.0006159607756178187,-9.0
1925,627,13501,0.8181818181818182,0.8,0.0,0.9545454545454546,0.005583392984967794,-8.0
1969,485,11584,0.47216494845360824,0.0,0.0,0.8457204767063922,0.000620233006453752,-7.0
