constructed_district,official_G_NAME,official_G_UNIT,NATION,G_YEAR,matched_via,centroid_distance_km,nearest_dist_m,centroid_constructed_wkt,centroid_official_wkt
Aberayron,ABERAERON,10112394.0,WALES,1851.0,within,1.5307466323575913,,POINT (248477.618652 257228.018955),POINT (246952.700132 257361.468421)
Abergavenny,BRECKNOCK,10044054.0,WALES,1851.0,within,5.743097448060268,,POINT (304266.668432 229757.801853),POINT (298838.893059 227880.989982)
Aberystwyth,ABERYSTWITH,10155265.0,WALES,1851.0,within,1.436276407334207,,POINT (269551.384998 280584.316228),POINT (268137.541109 280331.461772)
Abingdon,ABINGDON,10188088.0,ENGLAND,1851.0,within,0.09443583510611148,,POINT (448882.25901 198934.638646),POINT (448884.725003 199029.042279)
Alcester,ALCESTER,10140456.0,ENGLAND,1851.0,within,2.0450005882385036,,POINT (409321.017488 259571.354057),POINT (407284.197183 259388.623521)
Alderbury,ALDERBURY,10099596.0,ENGLAND,1851.0,within,1.664134799017657,,POINT (418139.34745 127357.834142),POINT (419201.223678 126076.520946)
Alnwick,ALNWICK,10104567.0,ENGLAND,1851.0,within,0.5529857990477185,,POINT (417324.239405 613219.170058),POINT (417614.868854 612748.715153)
Alresford,ALRESFORD,10056070.0,ENGLAND,1851.0,within,0.44167159375331866,,POINT (460266.015394 132269.018545),POINT (459830.402963 132196.110342)
Alton (1837 onw),ALTON,10030900.0,ENGLAND,1851.0,within,3.9629495877890286,,POINT (469042.333624 139919.725147),POINT (472735.038391 138481.35769)
Altrincham,ALTRINCHAM,10075622.0,ENGLAND,1851.0,within,0.2053617086401499,,POINT (375733.145717 383505.813037),POINT (375938.026727 383491.770144)
Alverstoke,ALVERSTOKE,10111985.0,ENGLAND,1851.0,within,0.13586116731322834,,POINT (459941.449306 100807.292875),POINT (459946.923068 100943.04373)
Amersham,AMERSHAM,10063255.0,ENGLAND,1851.0,within,1.4314529168033625,,POINT (497078.101667 197524.906601),POINT (495650.922094 197635.432257)
Amesbury,PEWSEY,10139521.0,ENGLAND,1851.0,within,5.172544032699621,,POINT (418067.955328 161129.620362),POINT (417036.465256 156060.967681)
Ampthill,WOBURN,10212250.0,ENGLAND,1851.0,within,3.2087606763543697,,POINT (498234.814546 228390.859127),POINT (498039.760387 231593.68584)
Andover,ANDOVER,10111997.0,ENGLAND,1851.0,within,1.187447415028299,,POINT (434990.332762 147830.75348),POINT (434072.80843 147076.976017)
Anglesey (1837-1937),ANGLESEY,13407230.0,WALES,1851.0,within,1.6080121889651091,,POINT (238414.113401 379990.875198),POINT (239101.991459 381444.328664)
Anglesey (1968-1974),ANGLESEY,13407230.0,WALES,1851.0,within,1.6080121889651091,,POINT (238414.113401 379990.875198),POINT (239101.991459 381444.328664)
Ashbourne,ASHBOURNE,10174788.0,ENGLAND,1851.0,within,4.9621645588915415,,POINT (420856.53849 344849.312788),POINT (418846.895841 349386.317696)
Ashby de la Zouch,ASHBY DE LA ZOUCH,10112000.0,ENGLAND,1851.0,within,2.131585079433313,,POINT (435425.028031 317535.372167),POINT (436317.259165 315599.505809)
Ashton under Lyne (1848-1937),HALIFAX,10102560.0,ENGLAND,1851.0,within,8.771790713853111,,POINT (402432.703802 415434.29338),POINT (406430.154421 423242.282935)
Askrigg,ASKRIGG,10155022.0,ENGLAND,1851.0,within,0.5078746010725014,,POINT (390523.226557 489126.039844),POINT (390612.234994 488626.025736)
Aston (1837-1924),LICHFIELD,10187655.0,ENGLAND,1851.0,within,10.0190582174491,,POINT (408800.632447 302348.713837),POINT (410213.120236 312267.706014)
Atcham,WEM,13407265.0,ENGLAND,1851.0,within,8.768081418430146,,POINT (354476.074468 344116.044529),POINT (353549.981826 335397.007645)
Atherstone,COVENTRY,10167656.0,ENGLAND,1851.0,within,2.9275363613823124,,POINT (433512.254887 281995.772791),POINT (433398.282202 279070.455821)
Auckland,AUCKLAND,10155010.0,ENGLAND,1851.0,within,2.4806914100348862,,POINT (416235.129333 532526.62103),POINT (416251.826813 530045.985816)
Axbridge,BEDMINSTER,10075518.0,ENGLAND,1851.0,within,9.224767274665632,,POINT (353817.068153 162200.369041),POINT (348981.460201 170056.145705)
Axminster,AXMINSTER,10005590.0,ENGLAND,1851.0,within,2.0611330980344746,,POINT (327873.472389 96464.496165),POINT (328468.866969 98437.761211)
Aylesbury,BICESTER,10030146.0,ENGLAND,1851.0,within,2.4029995484764286,,POINT (457395.798473 224943.187722),POINT (456465.413966 222727.608452)
Bakewell (1839 onw),BAKEWELL,10063152.0,ENGLAND,1851.0,within,4.551886535140089,,POINT (421700.913612 365564.217777),POINT (421267.78572 370095.45064)
Bala,BALA,10213642.0,WALES,1851.0,within,0.025114852350856767,,POINT (289658.267971 334781.482914),POINT (289657.694848 334756.374602)
Banbury,BANBURY,10044017.0,ENGLAND,1851.0,within,4.801225036817023,,POINT (443062.773097 237297.496411),POINT (442990.890755 242098.183318)
Bangor,BANGOR AND BEAUMARIS,10112035.0,WALES,1851.0,within,3.146464003330922,,POINT (259266.021737 366983.459036),POINT (261107.726336 369534.607776)
Barnet,BARNET,10005607.0,ENGLAND,1851.0,within,0.030181714584615802,,POINT (523384.073107 197391.749913),POINT (523378.668238 197362.056088)
Barnsley,ECCLESALL BIERLOW,10030330.0,ENGLAND,1851.0,within,4.215970933786644,,POINT (430285.797478 379646.771075),POINT (431179.355316 383766.961035)
Barnstaple,BARNSTAPLE,10178423.0,ENGLAND,1851.0,within,2.6831898561970724,,POINT (262080.32874 139033.521546),POINT (259439.995467 138555.873124)
Barrow upon Soar,BINGHAM,10075609.0,ENGLAND,1851.0,within,10.626447122780641,,POINT (460510.111983 331391.315671),POINT (469581.746175 336925.467055)
Barton upon Irwell (1850-1934),ALTRINCHAM,10075622.0,ENGLAND,1851.0,within,5.877010636558893,,POINT (370706.947406 386170.400981),POINT (375938.026727 383491.770144)
Basford,MANSFIELD,10084430.0,ENGLAND,1851.0,within,2.9086970477272702,,POINT (450065.952872 364585.143981),POINT (451623.404437 362128.548137)
Basingstoke,KINGSCLERE,10139351.0,ENGLAND,1851.0,within,7.860813459934807,,POINT (457452.706838 157297.046744),POINT (449694.727846 158564.386563)
Bath,MALMESBURY,10139429.0,ENGLAND,1851.0,within,5.248545029962648,,POINT (397878.735726 190737.438643),POINT (394294.587511 186903.236444)
Battle,EAST GRINSTEAD,10030328.0,ENGLAND,1851.0,within,12.597345460442394,,POINT (550578.480454 130938.291771),POINT (539353.463604 136655.993179)
Beaminster,YEOVIL,10029697.0,ENGLAND,1851.0,within,5.924260628736571,,POINT (356281.211796 114730.57416),POINT (350956.009252 117326.548323)
Bedale,RIPON,10139569.0,ENGLAND,1851.0,within,10.80508559725333,,POINT (436583.065295 479872.704343),POINT (428589.931237 472602.237873)
Bedford,WELLINGBOROUGH,10063140.0,ENGLAND,1851.0,within,7.972681279526458,,POINT (490372.234317 258284.399663),POINT (490112.004075 266252.832822)
Bedminster,AXBRIDGE,10112011.0,ENGLAND,1851.0,within,6.926815770636244,,POINT (343689.963324 161825.692011),POINT (340392.9264 155733.867635)
Belford,BELFORD,10112047.0,ENGLAND,1851.0,within,0.34018958650236475,,POINT (415006.117666 630682.624457),POINT (415011.773903 631022.767018)
Bellingham,BELLINGHAM,10221456.0,ENGLAND,1851.0,within,1.7189291363688481,,POINT (376389.342701 590721.9355),POINT (377454.867145 589373.093391)
Belper,BELPER,10075452.0,ENGLAND,1851.0,within,10.143193400165941,,POINT (435094.927311 358127.379382),POINT (434803.843695 347988.363519)
Berkhampstead (1837-1939),BERKHAMPSTEAD,10066700.0,ENGLAND,1851.0,within,0.49290969631407583,,POINT (495277.420798 212136.032895),POINT (495314.969787 211644.555488)
Berwick,BERWICK,10167619.0,ENGLAND,1851.0,within,8.693454404149547,,POINT (397193.204376 654369.045539),POINT (397830.775234 645699.002121)
Beverley (1837-1937),GOOLE,10005723.0,ENGLAND,1851.0,within,9.39719307922515,,POINT (483962.551872 419370.360494),POINT (474615.801453 420342.72584)
Beverley (1974 onw),GOOLE,10005723.0,ENGLAND,1851.0,within,9.39719307922515,,POINT (483962.551872 419370.360494),POINT (474615.801453 420342.72584)
Bicester,WITNEY,10111699.0,ENGLAND,1851.0,within,6.893232826475686,,POINT (435728.027478 214423.742447),POINT (432881.214527 208145.819636)
Bideford,BIDEFORD,10044030.0,ENGLAND,1851.0,within,1.5178767601084764,,POINT (233858.062977 120912.488933),POINT (234990.565552 121923.126245)
Biggleswade,BEDFORD,10220970.0,ENGLAND,1851.0,within,7.6613887956236715,,POINT (509988.771771 249872.153687),POINT (503640.232162 254160.850821)
Billericay,ONGAR,10029960.0,ENGLAND,1851.0,within,4.535923503116809,,POINT (556102.367582 198231.006636),POINT (554854.889109 202592.015635)
Billesdon,UPPINGHAM,10055696.0,ENGLAND,1851.0,within,6.294276532868853,,POINT (485421.360319 291627.512733),POINT (487409.402722 297599.581426)
Bingham,GRANTHAM,10187850.0,ENGLAND,1851.0,within,10.956592116325787,,POINT (481750.42502 336084.233769),POINT (492397.181279 333497.055388)
Bishops Stortford,BISHOPS STORTFORD,10155058.0,ENGLAND,1851.0,within,7.298954273070913,,POINT (540669.409728 225950.159012),POINT (547372.191463 223060.963538)
Blaby,HINCKLEY,10209134.0,ENGLAND,1851.0,within,6.238613768648983,,POINT (438257.628642 296053.264596),POINT (443895.690325 293382.578877)
Blackburn,BOLTON,10030160.0,ENGLAND,1851.0,within,1.4313912705556477,,POINT (370777.156471 410099.451013),POINT (370145.347616 411383.856922)
Blandford,BLANDFORD,10005632.0,ENGLAND,1851.0,within,7.224041973640937,,POINT (388395.604901 112815.956731),POINT (387055.46756 105717.307962)
Blean,BLEAN,10030158.0,ENGLAND,1851.0,within,1.8865258176066375,,POINT (615480.396297 165440.196158),POINT (616921.04788 164222.204912)
Blofield,AYLSHAM,10112023.0,ENGLAND,1851.0,within,6.2260728371872585,,POINT (610262.978197 322948.40613),POINT (615306.095769 326599.563224)
Blything,DEPWADE,10205694.0,ENGLAND,1851.0,within,6.7813935819287545,,POINT (613218.335876 291672.098497),POINT (619103.252196 288302.37168)
Bodmin,BODMIN,10044042.0,ENGLAND,1851.0,within,0.5747782092428209,,POINT (205241.478836 69390.76401),POINT (205807.938454 69293.329462)
Bolton,HASLINGDEN,10187862.0,ENGLAND,1851.0,within,1.8489964375112533,,POINT (379525.385772 422213.155431),POINT (380374.749365 423855.522416)
Bootle Cul,BOOTLE,10139703.0,ENGLAND,1851.0,within,1.3568985201028991,,POINT (315714.354883 493838.497845),POINT (315528.746153 495182.641808)
Bosmere,STOW,10005255.0,ENGLAND,1851.0,within,7.112333366429042,,POINT (596476.229324 257294.615421),POINT (600148.204778 263385.746857)
Boston,BOURNE,10043839.0,ENGLAND,1851.0,within,5.574008766297607,,POINT (508778.481647 327183.09634),POINT (510037.744462 321753.194786)
Bourne (1837-1933),GRANTHAM,10187850.0,ENGLAND,1851.0,within,12.456308808276482,,POINT (504011.832367 328995.998931),POINT (492397.181279 333497.055388)
Bourne (1974 onw),GRANTHAM,10187850.0,ENGLAND,1851.0,within,12.456308808276482,,POINT (504011.832367 328995.998931),POINT (492397.181279 333497.055388)
Brackley,ASHBY DE LA ZOUCH,10112000.0,ENGLAND,1851.0,within,5.9639770358801005,,POINT (434361.067694 321233.539623),POINT (436317.259165 315599.505809)
Bradfield,BRADFIELD,10097666.0,ENGLAND,1851.0,within,1.0425243253433532,,POINT (462482.403109 173165.941313),POINT (461928.019255 172283.039557)
Bradford,SKIPTON,10005346.0,ENGLAND,1851.0,within,11.342670987130818,,POINT (406175.516173 466623.233717),POINT (397455.096394 459369.92661)
Bradford upon Avon,ABINGDON,10188088.0,ENGLAND,1851.0,within,8.327575377094282,,POINT (457174.813927 198239.77851),POINT (448884.725003 199029.042279)
Braintree,SAFFRON WALDEN,10030079.0,ENGLAND,1851.0,within,8.196961532874193,,POINT (562053.281543 239262.163144),POINT (554172.869406 237006.219235)
Brampton,BRAMPTON,10139727.0,ENGLAND,1851.0,within,6.745688999563047,,POINT (361384.409766 557931.65654),POINT (356957.81266 563021.799774)
Brecknock,BRECKNOCK,10044054.0,WALES,1851.0,within,1.991766562470435,,POINT (300629.355662 227008.420382),POINT (298838.893059 227880.989982)
Brentford,BRENTFORD,10097630.0,ENGLAND,1851.0,within,0.26777978700035315,,POINT (516175.026268 178423.792487),POINT (516212.056655 178688.99951)
Bridge,HOLLINGBOURNE,10063190.0,ENGLAND,1851.0,within,6.020633962541523,,POINT (583606.778009 147399.45806),POINT (584260.434236 153384.503327)
Bridgend (1996 onw),BRIDGEND AND COWBRIDGE,10030195.0,WALES,1851.0,within,5.100120084812644,,POINT (288461.74553 177826.218429),POINT (292774.748239 180548.20897)
Bridgend (to 1970),BRIDGEND AND COWBRIDGE,10030195.0,WALES,1851.0,within,5.100120084812644,,POINT (288461.74553 177826.218429),POINT (292774.748239 180548.20897)
Bridgnorth,TENBURY,10178885.0,ENGLAND,1851.0,within,3.0900461505788592,,POINT (363567.732366 269345.904778),POINT (361055.973065 267546.057443)
Bridgwater,CLUTTON,10030274.0,ENGLAND,1851.0,within,8.258540932040649,,POINT (352794.952423 154707.997634),POINT (360248.551649 158264.309898)
Bridlington (1837-1937),DRIFFIELD,10197077.0,ENGLAND,1851.0,within,5.1673517907658795,,POINT (505663.161634 459795.129042),POINT (500503.250478 459517.926252)
Bridlington (1974 onw),DRIFFIELD,10197077.0,ENGLAND,1851.0,within,5.1673517907658795,,POINT (505663.161634 459795.129042),POINT (500503.250478 459517.926252)
Bridport (1959 to 1997),BRIDPORT,10005644.0,ENGLAND,1851.0,within,0.4696242704408697,,POINT (346053.669856 93269.387243),POINT (346073.674863 92800.189252)
Bridport (to 1958),BRIDPORT,10005644.0,ENGLAND,1851.0,within,0.4696242704408697,,POINT (346053.669856 93269.387243),POINT (346073.674863 92800.189252)
Bristol,CHIPPING SODBURY,10167644.0,ENGLAND,1851.0,within,3.200284210435402,,POINT (372476.864769 183796.78669),POINT (374145.422432 181065.901421)
Brixworth,MARKET HARBOROUGH,10111882.0,ENGLAND,1851.0,within,6.1423588329293395,,POINT (470821.202618 281838.952493),POINT (471976.823565 287871.622902)
Bromley,BROMLEY,10005322.0,ENGLAND,1851.0,within,7.1552773414032735,,POINT (536730.246862 167385.654047),POINT (543642.058994 165535.019862)
Bromsgrove,BROMSGROVE,10112084.0,ENGLAND,1851.0,within,2.9499480571462953,,POINT (394698.023552 273319.684631),POINT (397571.046218 273988.963571)
Bromyard,BROMYARD,10207186.0,ENGLAND,1851.0,within,9.063074074956996,,POINT (357642.760353 248523.074961),POINT (365161.196651 253583.947151)
Buckingham,BUCKINGHAM,10139740.0,ENGLAND,1851.0,within,4.103573765136505,,POINT (465719.70737 229952.27409),POINT (469443.992513 231675.357901)
Builth,RHAYADER,10220518.0,WALES,1851.0,within,5.34605968058022,,POINT (298348.530049 262722.363985),POINT (296434.344749 267713.981834)
Burnley,BURNLEY,10139752.0,ENGLAND,1851.0,within,1.5002944805022627,,POINT (385000.736391 434032.007963),POINT (385764.79462 435323.169669)
Burton upon Trent,BURTON UPON TRENT,10005656.0,ENGLAND,1851.0,within,6.636702668374508,,POINT (426980.265582 331842.9434),POINT (424441.086788 325711.190522)
Bury,BARTON UPON IRWELL,10075592.0,ENGLAND,1851.0,within,6.390018083251218,,POINT (376364.555411 403859.729306),POINT (375223.466761 397572.420836)
Bury St Edmunds,TISBURY,10211918.0,ENGLAND,1851.0,within,3.2040359011858004,,POINT (391792.273944 124595.636133),POINT (393877.617944 127028.162897)
Caistor,CAISTOR,10560342.0,ENGLAND,1851.0,within,3.291692071643466,,POINT (512544.752048 396737.11019),POINT (513977.440963 399700.661973)
Calne,CALNE,10187783.0,ENGLAND,1851.0,within,0.2365421351960048,,POINT (400985.998782 172025.620123),POINT (401167.380864 172177.451352)
Camberwell,CAMBERWELL,10167450.0,ENGLAND,1851.0,within,0.40917029727211035,,POINT (533647.221086 175517.763274),POINT (533905.966975 175200.791829)
Camelford,CAMELFORD,10084441.0,ENGLAND,1851.0,within,0.19121814977006193,,POINT (211942.286224 84757.656496),POINT (211753.167568 84729.398492)
Canterbury,MALMESBURY,10139429.0,ENGLAND,1851.0,within,7.773061595702494,,POINT (401596.207926 189569.099508),POINT (394294.587511 186903.236444)
Cardiff (1837-1974),MERTHYR TIDVIL,10167516.0,WALES,1851.0,within,3.763979994464643,,POINT (306737.781366 201012.806639),POINT (302974.331828 200949.616652)
Cardiff (1996 onw),MERTHYR TIDVIL,10167516.0,WALES,1851.0,within,3.763979994464643,,POINT (306737.781366 201012.806639),POINT (302974.331828 200949.616652)
Cardigan,NEWCASTLE IN EMLYN,10005486.0,WALES,1851.0,within,9.340710184678356,,POINT (225441.36261 240079.540632),POINT (234779.39337 240303.255332)
