parish,county,from_year,to_year,comments,district,source_url
Abergavenny,Monmouthshire,1837,1894,"Abolished 1894 and divided between the parishes of Abergavenny 
    Urban and Abergavenny Rural.",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Abergavenny Rural,Monmouthshire,1894,1958,"Created 1894 from the rural part of the parish of Abergavenny. 
    See also Table 2, note (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Abergavenny Urban,Monmouthshire,1894,1958,"Created 1894 out of the part of the parish of Abergavenny in Abergavenny 
    Urban District. See also Table 2, note (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Aberystruth,Monmouthshire,1837,1861,"See Table 2, note (a).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Bedwellty,Monmouthshire,1837,1861,"See Table 2, note (a).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Bettws Newydd,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanarth Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Blaenavon,Monmouthshire,1894,1958,"Created 1894 out of the parts in Blaenavon Urban District of the parishes of Llanover, Trevethin 
    with Pontypool, Llanfoist, Llanwenarth Ultra and Aberystruth. See also Table 2, notes (b) and (c).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Bryngwyn,Monmouthshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Llanarth 
    Fawr and Llandeilo United.",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Bwlch Trewyn,Herefordshire,1837,1844,"Transferred from Herefordshire to Monmouthshire on 20.10.1844. 
    Abolished 1.4.1935 and added to the parish of Crucorney Fawr.",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Clytha,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanarth Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Crucorney Fawr,Monmouthshire,1935,1958,"Created 1.4.1935 out of the parishes of Llanvihangel Crucorney, 
    Lower Cwmyoy, Upper Cwmyoy, Bwlch Trewyn, Fwthog and Oldcastle. See also Table 
    2, note (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Dixton Newton,Monmouthshire,1939,1958,"See Table 2, notes (d) and (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Fwthog,Herefordshire,1837,1893,"Transferred from Herefordshire to Monmouthshire on 29.9.1893. Abolished 
    1.4.1935 and added to the parish of Crucorney Fawr.",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Grosmont Fawr,Monmouthshire,1935,1958,"Created 1.4.1935 out of the parishes of Grosmont, Llanvetherine, 
    Llangattock Lingoed and Llangua. See also Table 2, notes (c) and (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llanarth,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanarth Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llanarth Fawr,Monmouthshire,1935,1958,"Created 1.4.1935 out of the parishes of Clytha, Llanarth, Bryngwyn, 
    Bettws Newydd and Llanvapley. See also Table 2, note (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llanddewi Rhydderch,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanover Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llandeilo United,Monmouthshire,1939,1958,"See Table 2, notes (d) and (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llanellen,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanfoist Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llanfoist,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanfoist Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llanfoist Fawr,Monmouthshire,1935,1958,"Created 1.4.1935 out of the parishes of Llanwenarth Ultra, Llanfoist, 
    Llanwenarth Citra, Llanellen and Llanilio Pertholey. See also Table 2, note 
    (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llangattock Lingoed,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Grosmont Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llangattock nigh Usk,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanover Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llangattock Vibon Avel United,Monmouthshire,1939,1958,"See Table 2, notes (d) and (e).",Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
Llanover,Monmouthshire,1837,1935,Abolished 1.4.1935 and added to the parish of Llanover Fawr.,Abergavenny,http://www.ukbmd.org.uk/reg/districts/abergavenny.html
