parish,county,from_year,to_year,comments,district,source_url
Acle,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Ashby with Oby,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Beighton,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Blofield,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Brundall,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Burlingham,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Caister on Sea,Norfolk,1954,1974,"Created 2.1.1954 by renaming the parish of East Caister. See also 
    Table 2, note (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Cantley,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
East Caister,Norfolk,1939,1954,"Renamed 2.1.1954 to become the parish of Caister on Sea. See also 
    Table 2, note (c).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Filby,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Fleggburgh,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Freethorpe,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Great & Little Plumstead,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Halvergate,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Hemblington,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Hemsby,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Martham,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Mautby,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Ormesby St. Margaret with Scratby,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Ormesby St. Michael,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Postwick,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Reedham,Norfolk,1939,1974,"See Table 2, notes (a), (c) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Repps with Bastwick,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Rollesby,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Somerton,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
South Walsham,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Stokesby with Herringby,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Strumpshaw,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Thorpe next Norwich,Norfolk,1939,1955,"Renamed 2.7.1955 to become the parish of Thorpe St. Andrew. See 
    also Table 2, notes (a), (b) and (d).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Thorpe St. Andrew,Norfolk,1955,1974,"Created 2.7.1955 by renaming the parish of Thorpe next Norwich. 
    See also Table 2, note (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Thurne,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Upton with Fishley,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
West Caister,Norfolk,1939,1974,"See Table 2, notes (c) and (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Winterton,Norfolk,1939,1953,"Renamed 3.10.1953 to become the parish of Winterton on Sea. See 
    also Table 2, note (c).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Winterton on Sea,Norfolk,1953,1974,"Created 3.10.1953 by renaming the parish of Winterton. See also 
    Table 2, note (e).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
Woodbastwick,Norfolk,1939,1974,"See Table 2, notes (a) and (f).",Acle,http://www.ukbmd.org.uk/reg/districts/acle.html
