parish,county,from_year,to_year,comments,district,source_url
Alderwasley,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Aldercar & Langley Mill,Derbyshire,1994,2013,"See Table 2, notes (d) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Alfreton,Derbyshire,1994,2013,"See Table 2, notes (b) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Amber Valley*,Derbyshire,1994,2013,"Unparished area of the village of Riddings. See also Table 2, 
    notes (b) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Ashleyhay,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Belper,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Codnor,Derbyshire,1994,2013,"See Table 2, notes (d) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Crich,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Denby,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
"Dethick, Lea & Holloway",Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Duffield,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Hazelwood,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Heanor & Loscoe,Derbyshire,1994,2013,"See Table 2, notes (d) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Holbrook,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Horsley,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Horsley Woodhouse,Derbyshire,1994,2013,"See Table 2, notes (d) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Idridgehay & Alton,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Ironville,Derbyshire,1994,2013,"See Table 2, notes (b) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Kedleston,Derbyshire,1994,2013,"See Table 2, notes (c) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Kilburn,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Kirk Langley,Derbyshire,1994,2013,"See Table 2, notes (c) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Mackworth,Derbyshire,1994,2013,"See Table 2, notes (c) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Mapperley,Derbyshire,1994,2013,"See Table 2, notes (d) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Pentrich,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Quarndon,Derbyshire,1994,2013,"See Table 2, notes (c) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Ravensdale Park,Derbyshire,1994,2013,"See Table 2, notes (c) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Ripley,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Shipley,Derbyshire,1994,2013,"See Table 2, notes (d) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Shottle & Postern,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Smalley,Derbyshire,1994,2013,"See Table 2, notes (d) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Somercotes,Derbyshire,1994,2013,"See Table 2, notes (b) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
South Wingfield,Derbyshire,1994,2013,"See Table 2, notes (b) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Swanwick,Derbyshire,1994,2013,"See Table 2, notes (b) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Turnditch,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Weston Underwood,Derbyshire,1994,2013,"See Table 2, notes (c) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
Windley,Derbyshire,1994,2013,"See Table 2, notes (a) and (e).",Amber Valley,http://www.ukbmd.org.uk/reg/districts/amber%20valley.html
