parish,county,from_year,to_year,comments,district,source_url
Ampthill,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Aspley Guise,Bedfordshire,1899,1999,"See Table 2, notes (c), (k), (l), (q), (p) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Aspley Heath,Bedfordshire,1899,1999,"See Table 2, notes (c), (k), (p) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Battlesden,Bedfordshire,1899,1999,"See Table 2, notes (c), (i), (j), (n) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Brogborough,Bedfordshire,1990,1999,"Created 1.4.1990 out of the parishes of Husborne Crawley and Ridgmont. 
    See also Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Clophill,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Cranfield,Bedfordshire,1837,1999,"See Table 2, notes (q) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Eversholt,Bedfordshire,1899,1999,"See Table 2, notes (c) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Flitton,Bedfordshire,1837,1985,"Abolished 1.4.1985 and divided between the parishes of Flitton 
    & Greenfield, Flitwick, Pulloxhill and Westoning.",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Flitton & Greenfield,Bedfordshire,1985,1999,"Created 1.4.1985 out of the parishes of Flitton, Pulloxhill, Flitwick and Silsoe. See also Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Flitwick,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Gravenhurst,Bedfordshire,1888,1999,"Created 24.3.1888 out of the parishes of Lower Gravenhurst and 
    Upper Gravenhurst. See also Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Harlington,Bedfordshire,1899,1999,"See Table 2, notes (c) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Haynes,Bedfordshire,1837,1999,"See Table 2, notes (m) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Higham Gobion,Bedfordshire,1837,1984,Abolished 1.4.1984 and added to the parish of Shillington.,Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Holcot,Bedfordshire,1899,1933,"Abolished 1.4.1933 and added to the parish of Hulcote & Salford. 
    See also Table 2, note (c).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Holwell,Hertfordshire,1897,1897,"That part which until 30.9.1897 formed part of the parish of 
    Shillington. See also Table 2, note (b).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Houghton Conquest,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Hulcote & Salford,Bedfordshire,1933,1999,"Created 1.4.1933 out of the parishes of Salford, Holcot and Aspley 
    Guise. See also Table 2, notes (g), (h), (q), (p) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Husborne Crawley,Bedfordshire,1899,1999,"See Table 2, notes (c) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Ickleford,Hertfordshire,1897,1897,"That part which until 30.9.1897 formed part of the parish of 
    Shillington. See also Table 2, note (b).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Lidlington,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Lower Gravenhurst,Bedfordshire,1837,1888,Abolished 24.3.1888 and added to the parish of Gravenhurst.,Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Luton,Bedfordshire,1933,1935,"That part which until 1.4.1933 formed part of the parish of 
    Toddington. See also Table 2, note (f).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Marston Moretaine,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Maulden,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Millbrook,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Milton Bryan,Bedfordshire,1899,1999,"See Table 2, notes (c), (i), (j) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Offley,Hertfordshire,1907,1908,"That part which until 1.4.1907 formed part of the parish of 
    Shillington. See also Table 2, note (d).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Pirton,Hertfordshire,1897,1897,"That part which until 30.9.1897 formed part of the parish of 
    Shillington. See also Table 2, note (b).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Potsgrove,Bedfordshire,1899,1999,"See Table 2, notes (c) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Pulloxhill,Bedfordshire,1837,1999,"See Table 2, notes (o) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Ridgmont,Bedfordshire,1899,1999,"See Table 2, notes (c) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Salford,Bedfordshire,1899,1933,"Abolished 1.4.1933 and added to the parish of Hulcote & Salford. 
    See also Table 2, note (c).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Shillington,Bedfordshire,1837,1977,"On 30.9.1897 the part in Hertfordshire  
    became parts of the parishes of Holwell, Ickleford and Pirton, so that thereafter 
    Shillington was entirely in Bedfordshire. Renamed 2.6.1977 to become the parish 
    of Shillington & Stondon. See also Table 2, notes (b), (d) and (e).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Shillington,Bedfordshire,1985,1999,"Created 1.4.1985 from the parish of Higham Gobion and part of 
    the parish of Shillington & Stondon. See also Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Shillington & Stondon,Bedfordshire,1977,1985,"Created 2.6.1977 by renaming the parish of Shillington. Abolished 
    1.4.1985 and divided between the parishes of Shillington and Stondon.",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Silsoe,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Steppingley,Bedfordshire,1837,1999,"See Table 2, note (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Stondon,Bedfordshire,1985,1999,"Created 1.4.1985 from the parish of Upper Stondon and part of 
    the parish of Shillington & Stondon. See also Table 2, notes (m) and 
    (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Tingrith,Bedfordshire,1899,1999,"See Table 2, notes (c) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Toddington,Bedfordshire,1899,1935,"See Table 2, notes (c) and (f).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Upper Gravenhurst,Bedfordshire,1837,1888,Abolished 24.3.1888 and added to the parish of Gravenhurst.,Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Westoning,Bedfordshire,1837,1999,"See Table 2, notes (a) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
Woburn,Bedfordshire,1899,1999,"See Table 2, notes (c) and (r).",Ampthill,http://www.ukbmd.org.uk/reg/districts/ampthill.html
