parish,county,from_year,to_year,comments,district,source_url
Appleby,Cumbria,1974,1976,"Renamed 1.4.1976 to become the parish of Appleby in Westmorland. 
    See also Table 2, note (a).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Appleby in Westmorland,Cumbria,1976,1984,"Created 1.4.1976 by renaming the parish of Appleby. See also Table 
    2, note (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Asby,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Bolton,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Brough,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Brough Sowerby,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Colby,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Crackenthorpe,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Crosby Garrett,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Dufton,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Hartley,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Helbeck,Cumbria,1974,1984,"Created 18.6.1974 by renaming the parish of Hilbeck. See also 
    Table 2, note (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Hillbeck,Cumbria,1974,1974,"Renamed 18.6.1974 to become the parish of Helbeck. See also Table 
    2, note (a).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Hoff,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Kaber,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
King's Meaburn,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Kirkby Stephen,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Kirkby Thore,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Long Marton,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Mallerstang,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Milburn,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Murton,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Musgrave,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Nateby,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Newbiggin,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Ormside,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Orton,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Ravenstonedale,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Soulby,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Stainmore,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Tebay,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Temple Sowerby,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Waitby,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Warcop,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Wharton,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
Winton,Cumbria,1974,1984,"See Table 2, notes (a) and (b).",Appleby,http://www.ukbmd.org.uk/reg/districts/appleby.html
