parish,county,from_year,to_year,comments,district,source_url
Appleby,Derbyshire and Leicestershire,1837,1897,"Abolished 30.9.1897 to become the separate parishes of Appleby 
    Magna North and Appleby Magna South (both in Leicestershre).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Appleby Magna,Leicestershire,1898,1949,"Created 30.9.1898 from the parishes of Appleby Magna North and 
    Appleby Magna South. See also Table 2, note (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Appleby Magna North,Leicestershire,1897,1898,"Created 30.9.1897 from the Derbyshire part of the parish of Appleby. 
    Abolished 30.9.1898 and added to the parish of Appleby Magna.",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Appleby Magna South,Leicestershire,1897,1898,"Created 30.9.1897 from the Leicestershire part of the parish of 
    Appleby. Abolished 30.9.1898 and added to the parish of Appleby Magna.",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Ashby de la Zouch,Leicestershire,1837,1949,"See Table 2, note (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Ashby Woulds,Leicestershire,1894,1949,"Created 1894 out of the part of the parish of Ashby de la Zouch 
    in Ashby Woulds Urban District. See also Table 2, note (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Bardon,Leicestershire,1862,1949,"See Table 2, notes (a), (g) and (i).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Belton,Leicestershire,1936,1949,"That part which until 1.4.1936 formed part of the parish of 
    Thringstone. See aso Table 2, note (h).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Blackfordby,Leicestershire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Ashby de 
    la Zouch and Ashby Woulds.",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Bretby,Derbyshire,1934,1938,"That part which until 1.4.1938 formed part of the parish of 
    Hartshorn. See also Table 2, note (f).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Calke,Derbyshire,1837,1938,"See Table 2, note (f).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Charley,Leicestershire,1936,1949,"That part which until 1.4.1936 formed part of the parish of 
    Whitwick. See aso Table 2, note (h).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Chilcote,Derbyshire,1895,1897,"Transferred from Derbyshire to Leicestershire on 30.9.1897. See 
    also Table 2, notes (e) and (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Coalville,Leicestershire,1894,1949,"Created 29.9.1894 out of the parishes of Ravenstone & Snibston, 
    Whitwick, Hugglescote & Donnington and Swannington. See also Table 2, note 
    (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Coleorton,Leicestershire,1837,1949,"See Table 2, note (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Hartshorne,Derbyshire,1837,1938,"See Table 2, note (f).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Heather,Leicestershire,1837,1949,"See Table 2, notes (g) and (i).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Hugglescote & Donington,Leicestershire,1837,1936,"Abolished 1.4.1936 and divided between the parishes of Coalville 
    and Ibstock. See also Table 2, note (i).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Ibstock,Leicestershire,1936,1949,"That part which until 1.4.1936 formed parts of the parishes of 
    Heather and Hugglestone & Donington. See aso Table 2, note (i).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Markfield,Leicestershire,1936,1949,"That part which until 1.4.1936 formed part of the parish of 
    Marfield. See aso Table 2, note (i).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Measham,Derbyshire,1837,1897,"Transferred from Derbyshire to Leicestershire on 30.9.1897. See 
    also Table 2, notes (d) and (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Netherseal,Leicestershire,1894,1897,"Created 29.9.1894 out of the parish of Nether & Over Seal. Transferred 
    from Leicestershire to Derbyshire on 1.4.1897. See also Table 2, note (f).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Normanton-le-Heath,Leicestershire,1837,1949,"See Table 2, note (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
Oakthorpe & Donisthorpe,Derbyshire,1837,1897,"On 30.9.1897 the part in Derbyshire was transferred to Leicestershire, so that thereafter 
    Oakthorpe & Donisthorpe was entirely in Leicestershire. See also Table 2, note (g).",Ashby de la Zouch,http://www.ukbmd.org.uk/reg/districts/ashby-de-la-zouch.html
