parish,county,from_year,to_year,comments,district,source_url
Acrise,Kent,1998,2003,"See Table 2, notes (b) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Aldington,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Appledore,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Ashford*,Kent,1998,2003,"Unparished area. See also Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Bethersden,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Biddenden,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Bilsington,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Bonnington,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Boughton Aluph,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Brabourne,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Brenzett,Kent,1998,2003,"See Table 2, notes (b) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Brook,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Brookland,Kent,1998,2003,"See Table 2, notes (b) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Burmarsh,Kent,1998,2003,"See Table 2, notes (b) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Challock,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Charing,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Chilham,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Crundale,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Dymchurch,Kent,1998,2003,"See Table 2, notes (b) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Eastwell,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Egerton,Kent,1998,2003,"See Table 2, notes (a) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Elham,Kent,1998,2003,"See Table 2, notes (b) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
Elmsted,Kent,1998,2003,"See Table 2, notes (b) and (c).",Ashford with Shepway,http://www.ukbmd.org.uk/reg/districts/ashford%20with%20shepway.html
