parish,county,from_year,to_year,comments,district,source_url
Ashendon,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Aston Abbotts,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Aston Clinton,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Aston Sandford,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Aylesbury,Buckinghamshire,1837,1974,Abolished 1.4.1974 to become the Aylesbury Vale unparished area.,Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Aylesbury Vale*,Buckinghamshire,1974,1985,"Unparished area which until 1.4.1974 formed the parish of Aylesbury. See also Table 2, note 
    (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Bierton with Broughton,Buckinghamshire,1837,1985,"See Table 2, notes (c) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Boarstall,Buckinghamshire,1932,1985,"See Table 2, notes (i) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Brill,Buckinghamshire,1932,1985,"See Table 2, notes (i) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Buckland,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Chearsley,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Cheddington,Buckinghamshire,1935,1985,"See Table 2, notes (n) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Chilton,Buckinghamshire,1932,1985,"See Table 2, notes (i) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Cholesbury,Buckinghamshire,1837,1934,"Abolished 1.4.1934 and added to the parish of Cholesbury 
    cum St. Leonards.",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Cholesbury cum St. Leonards,Buckinghamshire,1934,1935,"Created 1.4.1934 out of the parishes of Buckland, Hawridge, Aston 
    Clinton, Cholesbury and Drayton Beauchamp. See also Table 2, note (m).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Creslow,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Cublington,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Cuddington,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Dinton with Ford & Upton,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Dorton,Buckinghamshire,1932,1985,"See Table 2, notes (i) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Drayton Beauchamp,Buckinghamshire,1837,1985,"See Table 2, notes (a) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Edlesborough,Buckinghamshire,1935,1985,"See Table 2, notes (n) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Fleet Marston,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Great Brickhill,Buckinghamshire,1935,1974,"See Table 2, notes (p), (o) and (v).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Great & Little Hampden,Buckinghamshire,1933,1935,"That part which until 1.4.1933 formed part of the parish of 
    Wendover. See also Table 2, note (l).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Grendon Underwood,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Grove,Buckinghamshire,1935,1982,"Abolished 1.4.1982 and added to the parish of Slapton. See 
    also Table 2, note (n).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Haddenham,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Halton,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Hardwick,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Hartwell,Buckinghamshire,1837,1985,"See Table 2, notes (e) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Hawridge,Buckinghamshire,1837,1934,"Abolished 1.4.1934 and added to the parish of Cholesbury 
    cum St. Leonards. See also Table 2, note (g).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Hulcott,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Ickford,Buckinghamshire,1932,1985,"See Table 2, notes (i) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Ivinghoe,Buckinghamshire,1935,1985,"See Table 2, notes (n) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Kingsey,Buckinghamshire,1933,1985,"See Table 2, notes (k) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Kingswood,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Linslade,Buckinghamshire,1935,1965,"Abolished 1.4.1965 and divided between the parishes of Leighton 
    Linslade and Soulbury. See also Table 2, notes (n) and (u).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Long Crendon,Buckinghamshire,1932,1985,"See Table 2, notes (i) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Longwick cum Ilmer,Buckinghamshire,1933,1933,"That part which until 1.4.1933 formed part of the parish of 
    Towersey. See also Table 2, note (l).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Lower Winchendon,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Ludgershall,Buckinghamshire,1837,1985,"See Table 2, notes (d) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Marsworth,Buckinghamshire,1935,1985,"See Table 2, notes (n) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Mentmore,Buckinghamshire,1935,1985,"See Table 2, notes (n) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Oakley,Buckinghamshire,1932,1985,"See Table 2, notes (i) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Oving,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Pitchcott,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Pitstone,Buckinghamshire,1935,1985,"See Table 2, notes (n) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Quainton,Buckinghamshire,1837,1985,"See Table 2, notes (p) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Quarrendon,Buckinghamshire,1837,1985,"See Table 2, note (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Shabbington,Buckinghamshire,1932,1985,"See Table 2, notes (i) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Shipton Lee,Buckinghamshire,1837,1886,Abolished 25.3.1886 and added to the parish of Quanton.,Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Slapton,Buckinghamshire,1935,1985,"See Table 2, notes (n) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Soulbury,Buckinghamshire,1935,1974,"See Table 2, notes (n), (p), (o), (s), (t) and (v).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Stoke Hammond,Buckinghamshire,1935,1974,"See Table 2, notes (n), (p), (o) and (v).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Stoke Mandeville,Buckinghamshire,1897,1985,"See Table 2, notes (f), (r) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
Stone,Buckinghamshire,1837,1985,"See Table 2, notes (b) and (w).",Aylesbury,http://www.ukbmd.org.uk/reg/districts/aylesbury.html
