parish,county,from_year,to_year,comments,district,source_url
Abbotside Common,Yorkshire North Riding,1869,1934,"Abolished 1.4.1934 and divided between the parishes of High Abbotside 
    and Low Abbotside. See also Table 2, note (a).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Askrigg,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Aysgarth,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Bainbridge,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Bishopdale,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Burton cum Walden,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Carperby cum Thoresby,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Hawes,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
High Abbotside,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Low Abbotside,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Mossdale Moor,Yorkshire North Riding,1869,1934,"Abolished 1.4.1934 and added to the parish of Hawes. See 
    also Table 2, note (a).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Newbiggin,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Thoralby,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Thornton Rust,Yorkshire North Riding,1869,1936,"See Table 2, notes (a) and (b).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
Wether Fell,Yorkshire North Riding,1869,1934,"Abolished 1.4.1934 and added to the parish of Hawes. See 
    also Table 2, note (a).",Aysgarth,http://www.ukbmd.org.uk/reg/districts/aysgarth.html
