parish,county,from_year,to_year,comments,district,source_url
Bristol,Gloucestershire,1898,1898,"That part which until 1.10.1898 formed parts of the parishes 
    of Horfield, North Bristol, St. George and Stapleton. 
    See also Table 2, note (d).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Bristol,Gloucestershire,1901,1901,"That part which until 1.10.1901 formed parts of the parishes 
    of Henbury and Shirehampton. See also Table 2, note (e).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Bristol,Gloucestershire,1902,1903,"That part which until 1.10.1902 formed parts of the parishes 
    of Henbury and Shirehampton. See also Table 2, note (f).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Bristol,Gloucestershire,1904,1904,"That part which untill 1.10.1904 formed the parishes of 
    Horfield, Shirehampton and Westbury on Trym and part of the parish of 
    Henbury. See also Table 2, note (g).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Clifton,Gloucestershire,1877,1896,"Abolished 30.9.1896 and added to the parish of North Bristol. 
    See also Table 2, note (a).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Compton Greenfield,Gloucestershire,1877,1886,"Abolished 25.3.1886 and added to the parish of Henbury. See 
    also Table 2, notes (a) and (b).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Filton,Gloucestershire,1877,1904,"See Table 2, notes (a) and (h).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Henbury,Gloucestershire,1877,1904,"See Table 2, notes (a),  (e), (f), (g) and (i).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Horfield,Gloucestershire,1877,1904,"Abolished 1.10.1904 and added to the parish of Bristol. 
    See also Table 2, notes (a), (d) and (g)",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
North Bristol,Gloucestershire,1896,1898,"Created 30.9.1896 out of the parishes of St. Philip & St. Jacob 
    Out, Clifton, St. James & St. Paul Out, Redland, Shirehampton and Henbury. 
    Abolished 1.4.1898 and added to the parish of Bristol. See also Table 2, 
    note (d).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Redland,Gloucestershire,1894,1896,"Created 1894 out of the part of the parish of Westbury on Trym 
    in the county borough of Bristol. Abolished 30.9.1896 and added to the 
    parish of North Bristol.",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Shirehampton,Gloucestershire,1885,1904,"Created 25.3.1885 out of the parish of Westbury on Trym. See 
    also Table 2, notes (e), (f) and (g).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
St. George,Gloucestershire,1877,1898,"Abolished 1.4.1898 and added to the parish of Bristol. See 
    also Table 2, notes (a) and (d).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
St. James & St. Paul Out,Gloucestershire,1877,1896,"Abolished 30.9.1896 and added to the parish of North Bristol. 
    See also Table 2, note (a).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
St. Philip & St. Jacob Out,Gloucestershire,1877,1896,"Abolished 30.9.1896 and added to the parish of North Bristol. 
    See also Table 2, note (a).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Stapleton,Gloucestershire,1877,1898,"Abolished 1.4.1898 and added to the parish of Bristol. See 
    also Table 2, notes (a) and (d).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Stoke Gifford,Gloucestershire,1877,1904,"See Table 2, notes (a) and (h).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Westbury on Trym,Gloucestershire,1877,1904,"Abolished 1.10.1904 and added to the parish of Bristol. See 
    also Table 2, notes (a), (b) and (g).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
Winterbourne,Gloucestershire,1877,1904,"See Table 2, notes (a), (c) and (h).",Barton Regis,http://www.ukbmd.org.uk/reg/districts/barton%20regis.html
