parish,county,from_year,to_year,comments,district,source_url
Alfreton,Derbyshire,1934,1936,"That part which until 1.4.1934 formed part of the parish of 
    Alfreton. See also Table 2, note (j).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Annesley,Nottinghamshire,1837,2012,"See Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Arnold,Nottinghamshire,1837,1974,"Abolished 1.4.1974 and added to the Gedling unparished area. See also Table 
    2, note (o).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Ashfield*,Nottinghamshire,1974,2012,"Only that part of the unparished area which until 1.4.1974 formed the parish of Hucknall Torkard. 
    See also Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Awsworth,Nottinghamshire,1894,2012,"Created 1894 out of the parish of Nuthall. See also Table 2, note 
    (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Barton in Fabis,Nottinghamshire,1837,1974,"See Table 2, note (w).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Basford,Nottinghamshire,1837,1899,"Abolished 1.4.1899 and added to the parish of Nottingham. 
    See also Table 2, note (i).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Beeston,Nottinghamshire,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Beeston 
    & Stapleford and Nottingham. See also Table 2, note (o).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Beeston & Stapleford,Nottinghamshire,1935,1974,"Created 1.4.1935 out of the parishes of Beeston, Stalpeford, Chilwell, 
    Bramcote and Toton. Abolished 1.4.1974 to become the Broxtowe unparished area. See also Table 
    2, note (r).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Bestwood Park,Nottinghamshire,1878,1977,"Renamed 28.9.1977 to become the parish of Bestwood St. Albans. 
    See also Table 2, notes (b) and (o).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
Bestwood St. Albans,Nottinghamshire,1977,2012,"Created 28.9.1977 by renaming the parish of Bestwood Park. See 
    also Table 2, note (y).",Basford,http://www.ukbmd.org.uk/reg/districts/basford.html
