parish,county,from_year,to_year,comments,district,source_url
Ashburnham,Sussex,1837,1889,"See Table 2, notes (b) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Battle,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Beckley,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Bexhill,Sussex,1837,1889,"Abolished 1.4.1974 to become the Rother unparished area. See also Table 
    2, note (d).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Bodiam,East Sussex,1935,1977,"See Table 2, notes (i) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Brede,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Brightling,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Broomhill,East Sussex,1935,1956,"Abolished 1.4.1956 and added to the parish of Camber. See 
    also Table 2, note (h).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Burwash,East Sussex,1935,1977,"See Table 2, notes (i) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Camber,East Sussex,1956,1977,"Created 1.4.1956 from the parishes of Broomhill and Winchelsea 
    St. Thomas the Apostle. See also Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Catsfield,Sussex,1837,1889,"See Table 2, notes (c) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Crowhurst,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Dallington,Sussex,1837,1889,"See Table 2, notes (b) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
East Guldeford,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Etchingham,East Sussex,1935,1977,"See Table 2, notes (i) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Ewhurst,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Fairlight,East Sussex,1935,1977,"See Table 2, notes (g), (j) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Guestling,East Sussex,1935,1977,"See Table 2, notes (g), (j) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Hollington,Sussex,1837,1889,"Abolished 9.11.1897 and divided between the parishes of Hollington 
    St. John and Hollington Rural.",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Hollington St. John,East Sussex,1897,1925,"Created 9.11.1897 out of the parishes of Hollington and St. Matthew. 
    Abolished 1.4.1925 and added to the parish of Hastings. See also Table 
    2, notes (e) and (f).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Hollington Rural,East Sussex,1897,1938,"Created 9.11.1897 out of the rural parts of the parishes of Hollington 
    and St. Matthew. Abolished 1.4.1938 and divided between the parishes of Hastings, 
    Crowhurst and Westfield. See also Table 2, notes (e) and (j).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Hurst Green,East Sussex,1952,1977,"Created 1.4.1952 out of the parishes of Salehurst, Etchingham and Ticehurst. See also Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Icklesham,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Iden,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Mountfield,Sussex,1837,1889,"See Table 2, notes (a) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Northiam,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Ore,East Sussex,1935,1958,"Abolished 1.4.1958 and divided between the parishes of Wivelsfield 
    and Guestling. See also Table 2, notes (g) and (j).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Peasmarsh,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Penhurst,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Pett,East Sussex,1935,1977,"See Table 2, notes (g) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Playden,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Rother*,East Sussex,1974,1977,"Unparished area which until 1.4.1974 formed the parish of Bexhill. See also Table 2, note 
    (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Rye,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Rye Foreign,East Sussex,1935,1977,"See Table 2, notes (h) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Salehurst,East Sussex,1935,1977,"See Table 2, notes (i) and (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
Sedlescombe,Sussex,1837,1889,"See Table 2, note (k).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
St. Mary Bulverhythe,East Sussex,1894,1895,"That part which until 1894 formed part of the parish of 
    Bexhill. See also Table 2, note (d).",Battle,http://www.ukbmd.org.uk/reg/districts/battle.html
