parish,county,from_year,to_year,comments,district,source_url
Abertillery,Monmouthshire,1894,1974,"Created 1894 from the part of the parish of Aberystruth in Abertillery 
    Urban District. See also Table 2, note (g).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Aberystruth,Monmouthshire,1861,1889,"In 1889 the parts of the parish of Aberystruth in the urban districts 
    of Brynmawr and Ebbw Vale became part of Brecknockshire, in 1894 these areas 
    became the separate parishes of Aberystruth Brynmawr Urban and Ebbw Vale, so 
    that thereafter Aberystruth was again wholly in Monmouthshire. Abolished 1.4.1974 
    and added to the community of Nantyglo & Blaina. See also Table 2, notes 
    (a), (b) and (g).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Aberystruth Brynmawr Urban,Brecknockshire,1894,1900,"Created 1894 from the part of the parish of Aberystruth in Brynmawr 
    Urban District. See also Table 2, note (c).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Beaufort,Monmouthshire,1934,1974,"Abolished 1.4.1974 and added to the community of Ebbw Vale. 
    See also Table 2, notes (d) and (g).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Bedwellty,Monmouthshire,1861,1974,"See Table 2, notes (a), (e) and (g)",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Blaenavon,Monmouthshire,1894,1895,"That part which until 1894 formed part of the parish of Aberystruth. See also Table 2, note (b).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Dukestown,Monmouthshire,1934,1974,"Abolished 1.4.1974 and added to the community of Tredegar. 
    See also Table 2, notes (d) and (g).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Ebbw Vale,Monmouthshire,1894,1974,"Created 1894 from parts of the parishes of Bedwellty and Aberystruth 
    in Ebbw Vale Urban District. See also Table 2, note (g).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Llanhilleth,Monmouthshire,1939,1974,"Abolished 1.4.1974 and added to the community of Abertillery. 
    See also Table 2, notes (f) and (g).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Llechryd,Monmouthshire,1934,1974,"Abolished 1.4.1974 and added to the community or Rhymney 
    on 1.4.1974. See also Table 2, notes (d) and (h).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Rassa,Monmouthshire,1934,1974,"Abolished 1.4.1974 and added to the community of Rassa. See 
    also Table 2, notes (d) and (g).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Rhymney,Monmouthshire,1894,1974,"Created 1894 from the rural part of the parish of Bedwellty. See 
    also Table 2, note (h).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
Tredegar,Monmouthshire,1894,1974,"Created 1894 from the part of the parish of Bedwellty in Tredegar 
    Urban District. See also Table 2, note (g).",Bedwellty,http://www.ukbmd.org.uk/reg/districts/bedwellty.html
