parish,county,from_year,to_year,comments,district,source_url
Adderstone,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Bamburgh,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Bamburgh Castle,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Beadnell,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Belford,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Bradford,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Budle,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Burton,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Chathill,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Detchant,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Easington,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Easington Grange,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Elford,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Ellingham,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Elwick,Durham,1837,1844,"The part in Durham was transferred  to Northumberland on 20.10.1844. See also 
    Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Farne Islands,Durham,1837,1844,"Transferred from Durham to Northumberland on 20.10.1844. See also 
    Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Fleetham,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Glororum,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Hoppen,Northumberland,1837,1887,Abolished 24.3.1887 and added to the parish of Lucker.,Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Lucker,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Middleton,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Monks House,Durham,1837,1844,"Transferred from Durham to Northumberland on 20.10.1844. See also 
    Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Mousen,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Newham,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Newstead,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
North Sunderland,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Outchester,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Preston,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Ratchwood,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Ross,Durham,1837,1844,"Transferred from Durham to Northumberland on 20.10.1844. See also 
    Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Shoreston,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Spindlestone,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Swinhoe,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Tughall,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Warenford,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
Warenton,Northumberland,1837,1936,"See Table 2, note (a).",Belford,http://www.ukbmd.org.uk/reg/districts/belford.html
