parish,county,from_year,to_year,comments,district,source_url
Aike,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Lockington.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Beswick,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Beverley,Yorkshire East Riding,1936,1937,"Created 1.4.1936 from the parishes of St. Martin, St. Nicholas and St. Mary. See also Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Bishop Burton,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Brantingham,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Cherry Burton,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Dalton Holme,Yorkshire East Riding,1935,1937,"Created 1.4.1935 out of the parishes of South Dalton and Holme 
    on the Wolds. See also Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Ellerker,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Elloughton,Yorkshire East Riding,1935,1937,"Created 1.4.1935 by renaming the parish of Elloughton with Brough. 
    See also Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Elloughton with Brough,Yorkshire East Riding,1837,1935,Renamed 1.4.1935 to become the parish of Elloughton.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Eske,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Tickton.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Etton,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Holme on the Wolds,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Dalton Holme.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Kilnwick,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Beswick.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Leconfield,Yorkshire East Riding,1935,1937,"Created 1.4.1935 out of the parishes of Leconfield & Arram and 
    Scorborough. See also Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Leconfield & Arram,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Leconfield.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Leven,Yorkshire East Riding,1837,1937,"See Table 2, notes (b) and (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Lockington,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Lockington in Kilnwick,Yorkshire East Riding,1837,1894,Abolished 1894 and added to the parish of Lockington.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Lund,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Meaux,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Wawne.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Molescroft,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Newbald,Yorkshire East Riding,1935,1937,"Created 1.4.1935 out of the parishes of North Newbald, South Newbald and Hotham. See also Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
North Newbald,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Newbald.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Routh,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Rowley,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Scorborough,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Leconfield.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Skidby,Yorkshire East Riding,1837,1937,"See Table 2, notes (a) and (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
South Cave,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
South Dalton,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Dalton Holme.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
South Newbald,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Newbald.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
St. Martin,Yorkshire East Riding,1837,1936,Abolished 1.4.1936 and added to the parish of Beverley.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
St. Mary,Yorkshire East Riding,1837,1936,Abolished 1.4.1936 and added to the parish of Beverley.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
St. Nicholas,Yorkshire East Riding,1837,1936,Abolished 1.4.1936 and added to the parish of Beverley.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Storkhill and Sandholme,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Tickton.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Thearne,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Woodmansey.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Tickton,Yorkshire East Riding,1935,1937,"Created 1.4.1935 out of the parishes of Tickton & Hull Bridge, 
    Weel, Storkhill & Sandholme and Eske. See also Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Tickton & Hull Bridge,Yorkshire East Riding,1837,1935,Abolished 1.4.1935 and added to the parish of Tickton.,Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Walkington,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
Wawne,Yorkshire East Riding,1837,1937,"See Table 2, note (c).",Beverley (1837-1937),http://www.ukbmd.org.uk/reg/districts/beverley.html
