parish,county,from_year,to_year,comments,district,source_url
Bilston,Staffordshire,1935,1966,"Abolished 1.4.1966 and divided between the parishes of Wolverhampton, 
    Walsall and West Bromwich. See also Table 2, notes (a), (h), (i) and (j).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Bobbington,Staffordshire,1935,1966,"See Table 2, notes (a) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Codsall,Staffordshire,1935,1966,"See Table 2, notes (a) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Enville,Staffordshire,1935,1966,"See Table 2, notes (a) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Himley,Staffordshire,1935,1966,"See Table 2, notes (a), (f) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Kinver,Staffordshire,1935,1966,"See Table 2, notes (a), (b), (f) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Lower Penn,Staffordshire,1935,1966,"See Table 2, notes (a), (g) and (j).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Patshull,Staffordshire,1935,1966,"See Table 2, notes (c) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Pattingham,Staffordshire,1935,1966,"See Table 2, notes (a) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Short Heath,Staffordshire,1935,1966,"Abolished 1.4.1966 and divided between the parishes of Walsall, 
    Wolverhampton and Essington. See also Table 2, notes (a), (d), (e), (h) and 
    (j).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Swindon,Staffordshire,1935,1966,"See Table 2, notes (a) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Tettenhall,Staffordshire,1935,1966,"Abolished 1.4.1966 and divided between the parishes of Wolverhampton, 
    Codsall, Lower Penn and Wrottesley. See also Table 2, notes (a), (g) and 
    (j).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Trysull & Seisdon,Staffordshire,1935,1966,"See Table 2, notes (a) and (g).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Wednesfield,Staffordshire,1935,1966,"Abolished 1.4.1966 and divided between the parishes of Wolverhampton, 
    Essington and Walsall. See also Table 2, notes (a), (e), (h) and (j).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Willenhall,Staffordshire,1935,1966,"Abolished 1.4.1966 and divided between the parishes of Walsall, 
    Wolverhampton and Essington. See also Table 2, notes (a), (e), (h) and (j).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Wombourn,Staffordshire,1935,1966,"Abolished 1.4.1966 and added to the parish of Wombourne. 
    See also Table 2, notes (a), (g) and (j).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
Wrottesley,Staffordshire,1935,1966,"See Table 2, notes (a), (g) and (j).",Bilston,http://www.ukbmd.org.uk/reg/districts/bilston.html
