parish,county,from_year,to_year,comments,district,source_url
Balderstone,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Balderstone,Lancashire,1974,1998,"See Table 2, notes (b) and (f).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Billington,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Blackburn,Lancashire,1837,1974,Abolished 1.4.1974 to become an unparished area.,Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Blackburn*,Lancashire,1974,1998,"Unparished area which until 1.4.1974 formed the parishes of Blackburn 
    and Darwen. See also Table 2, notes (a) and (e).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Church,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Clayton-le-Dale,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Clayton-le-Dale,Lancashire,1974,1998,"See Table 2, notes (b) and (f).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Clayton-le-Moors,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Darwen,Lancashire,1894,1936,"Created 1894 from the parts of the parishes of Over Darwen, Lower 
    Darwen and Eccleshill, in Darwen Municipal Borough. See also Table 2, note 
    (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Dinckley,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Dutton,Lancashire,1934,1936,"That part which which until 1.4.1934 formed parts of the parish of Clayton-le-Dale. 
    See also Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Eccleshill,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Eccleshill,Lancashire,1974,1998,"See Table 2, notes (b) and (e).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Great Harwood,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Little Harwood,Lancashire,1837,1893,Abolished 25.3.1893 and added to the parish of Blackburn.,Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Livesey,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Livesey,Lancashire,1974,1998,"See Table 2, notes (b) and (e).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Lower Darwen,Lancashire,1837,1893,"Abolished 25.3.1893 and divided between the parishes of Blackburn 
    and Darwen.",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Mellor,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Mellor,Lancashire,1974,1998,"See Table 2, notes (b) and (f).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
North Turton,Lancashire,1975,1998,"Created 6.5.1975 by renaming the parish of Turton North. See also 
    Table 2, notes (d) and (e).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Osbaldeston,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Osbaldeston,Lancashire,1974,1998,"See Table 2, notes (b) and (f).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
Oswaldtwistle,Lancashire,1837,1936,"See Table 2, note (a).",Blackburn,http://www.ukbmd.org.uk/reg/districts/blackburn.html
