parish,county,from_year,to_year,comments,district,source_url
Acle,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Beighton,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Blofield,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Bradeston,Norfolk,1837,1884,"Abolished 25.3.1884 and divided between the parishes of Brundall 
    and Strumpshaw.",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Brundall,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Buckenham,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Strumpshaw.,Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Burlingham,Norfolk,1935,1938,"Created 1.4.1935 from the parishes of Lingwood, Burlingham St. 
    Andrew, Burlingham St. Peter and Burlingham St. Edmund. See also Table 2, note 
    (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Burlingham St. Andrew,Norfolk,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Burlingham 
    and Halvergate.",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Burlingham St. Edmund,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Burlingham.,Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Burlingham St. Peter,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Burlingham.,Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Cantley,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Freethorpe,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Great Plumstead,Norfolk,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Great & 
    Little Plumstead and Postwick.",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Great & Little Plumstead,Norfolk,1935,1938,"Created 1.4.1935 out of the parishes of Little Plumstead and Great 
    Plumsead. See also Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Haddiscoe,Norfolk,1935,1935,"That part which until 1.4.1935 formed part of the parish of 
    Reedham. See also Table 2, note (c)",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Halvergate,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Hassingham,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Strumpshaw.,Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Hemblington,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Limpenhoe,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Cantley.,Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Lingwood,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Burlingham.,Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Little Plumstead,Norfolk,1837,1935,"Abolished 1.4.1935 and added to the parish of Great & Little 
    Plumstead.",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Moulton St. Mary,Norfolk,1837,1935,"Abolished 1.4.1935 and divided between the parishes of Beighton 
    and Reedham.",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Norton Subcourse,Norfolk,1935,1935,"That part which until 1.4.1935 formed part of the parish of 
    Reedham. See also Table 2, note (c)",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Norwich,Norfolk,1935,1935,"That part which until 1.4.1935 formed part of the parish of 
    Thorpe next Norwich. See also Table 2, note (a)",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Postwick,Norfolk,1837,1938,"See Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Ranworth with Panxworth,Norfolk,1837,1935,Abolished 1.4.1935 and added to the parish of Woodbastwick.,Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
Reedham,Norfolk,1837,1938,"See Table 2, notes (b) and (c).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
South Walsham,Norfolk,1897,1938,"Created 30.9.1897 from the parishes of South Walsham St. Mary 
    and South Walsham St. Lawrence. See also Table 2, note (b).",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
South Walsham St. Lawrence,Norfolk,1837,1897,"Abolished 30.9.1897 and added to the parish of South 
    Walsham.",Blofield,http://www.ukbmd.org.uk/reg/districts/blofield.html
