parish,county,from_year,to_year,comments,district,source_url
Arthuret,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Askerton,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Beaumont,Cumberland,1937,1974,"See Table 2, notes (b), (e) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Bewcastle,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Brampton,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Burgh by Sands,Cumberland,1937,1974,"See Table 2, notes (b) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Burtholme,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Carlatton,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Castle Carrock,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Cummersdale,Cumberland,1937,1974,"See Table 2, notes (b), (e) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Cumrew,Cumberland,1937,1974,"See Table 2, notes (a), (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Cumwhitton,Cumberland,1937,1974,"See Table 2, notes (a), (d) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Dalston,Cumberland,1937,1974,"See Table 2, notes (b), (c), (d) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Farlam,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Geltsdale,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Hayton,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Hethersgill,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Irthington,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Kingmoor,Cumberland,1937,1974,"See Table 2, notes (b), (e) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Kingwater,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Kirkandrews,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Kirklinton Middle,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Midgeholme,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Nether Denton,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Nichol Forest,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Orton,Cumberland,1937,1974,"See Table 2, notes (b) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Rockcliffe,Cumberland,1937,1974,"See Table 2, notes (b) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Scaleby,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Solport,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
St. Cuthbert Without,Cumberland,1937,1974,"See Table 2, notes (b), (e) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Stanwix,Cumberland,1937,1965,"Renamed 1.1.1966 to become the parish of Stanwix Rural. See also 
    Table 2, notes (b), (e) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Stanwix Rural,Cumberland,1966,1974,"Created 1.1.1966 by renaming the parish of Stanwix. See also 
    Table 2, note (f)",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Stapleton,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Upper Denton,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Walton,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Waterhead,Cumberland,1937,1974,"See Table 2, notes (a) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Westlinton,Cumberland,1939,1974,"See Table 2, notes (c) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
Wetheral,Cumberland,1937,1974,"See Table 2, notes (b), (e) and (f).",Border,http://www.ukbmd.org.uk/reg/districts/border.html
