parish,county,from_year,to_year,comments,district,source_url
Aslackby & Laughton,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Barholm & Stowe,Parts of Kesteven,1934,1974,"See Table 2, notes (b) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Baston,Parts of Kesteven,1934,1974,"See Table 2, notes (a), (b) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Billingborough,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Bourne,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Braceborough & Wilsthorpe,Parts of Kesteven,1934,1974,"See Table 2, notes (b) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Careby Aunby & Holywell,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Carlby,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Castle Bytham,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Corby,Parts of Kesteven,1934,1956,"Renamed 1956 to become the parish of Corby Glen. See also Table 2, note (a).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Corby Glen,Parts of Kesteven,1956,1974,"Created 1956 by renaming the parish of Corby. See also Table 2, note (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Counthorpe & Creeton,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Deeping St. James,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Dowsby,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Dunsby,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
Edenham,Parts of Kesteven,1934,1974,"See Table 2, notes (a) and (c).",Bourne & South Kesteven,http://www.ukbmd.org.uk/reg/districts/bourne%20and%20south%20kesteven.html
