parish,county,from_year,to_year,comments,district,source_url
Binfield,Berkshire,1974,1998,"See Table 2, notes (a) and (b).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Bracknell,Berkshire,1974,1998,"See Table 2, notes (a) and (b).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Crowthorne,Berkshire,1974,1998,"See Table 2, notes (a) and (b).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Easthampstead,Berkshire,1974,1984,"Abolished 1.4.1984 and divided between the parishes of 
    Binfield, Bracknell, Crowthorne and Winkfield. See also Table 2, note (a).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Old Windsor,Berkshire,1974,1998,"See Table 2, notes (a) and (c).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Sandhurst,Berkshire,1974,1998,"See Table 2, notes (a) and (b).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Sunningdale,Berkshire,1974,1998,"See Table 2, notes (a) and (c).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Sunninghill,Berkshire,1974,1998,"See Table 2, notes (a) and (c).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Warfield,Berkshire,1974,1998,"See Table 2, notes (a) and (b).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
Winkfield,Berkshire,1974,1998,"See Table 2, notes (a) and (b).",Bracknell,http://www.ukbmd.org.uk/reg/districts/bracknell.html
