parish,county,from_year,to_year,comments,district,source_url
Adisham,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Barham,Kent,1837,1974,"See Table 2, notes (f), (g) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Bekesbourne,Kent,1837,1974,"See Table 2, notes (b) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Bishopsbourne,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Bridge,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Chartham,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Chislet,Kent,1941,1974,"See Table 2, notes (e) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Denton,Kent,1934,1941,"That part which until 1.4.1934 formed parts of the parish of 
    Banham. See also Table 2, note (f).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Fordwich,Kent,1837,1974,"See Table 2, notes (b) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Hackington,Kent,1941,1974,"See Table 2, notes (e), (i) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Harbledown,Kent,1837,1974,"See Table 2, notes (d), (h), (i) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Herne Bay,Kent,1941,1974,"Abolished 1.4.1974 and added to the Canterbury unparished area. See also Table 
    2, notes (e) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Hoath,Kent,1941,1974,"See Table 2, notes (e) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Holy Cross Westgate Without,Kent,1837,1910,"See Table 2, note (c).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Ickham & Well,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Kingston,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Littlebourne,Kent,1837,1974,"See Table 2, notes (b) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Lower Hardres,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Milton,Kent,1837,1934,"Abolished 1.4.1934 and added to the parish of Thanington 
    Without.",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Mint,Kent,1837,1889,Abolished 24.3.1889 and added to the parish of Harbledown.,Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Nackington,Kent,1837,1934,"Abolished 1.4.1934 and added to the parish of Lower Hardres. 
    See also Table 2, note (b).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Patrixbourne,Kent,1837,1974,"See Table 2, notes (b) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Petham,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
St. Cosmus & St. Damian in the Blean,Kent,1941,1974,"See Table 2, notes (e), (h) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
St. Martin,Kent,1894,1895,"That part which until 1894 formed part of the parish of 
    Littlebourne. See also Table 2, note (b).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
St. Mary Bredin,Kent,1894,1895,"That part which until 1894 formed part of the parish of 
    Nackington. See also Table 2, note (b).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
St. Mary Northgate,Kent,1894,1895,"That part which until 1894 formed part of the parish of 
    Fordwich. See also Table 2, note (b).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
St. Nicholas Hospital,Kent,1837,1934,Abolished 1.4.1934 and added to the parish of Harbledown.,Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
St. Paul,Kent,1894,1895,"That part which until 1894 formed part of the parish of 
    Bekesbourne. See also Table 2, note (b).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
St. Paul Bredin,Kent,1894,1895,"That part which until 1894 formed part of the parish of 
    Patrixbourne. See also Table 2, note (b).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Stodmarsh,Kent,1837,1934,Abolished 1.4.1934 and added to the parish of Wickhambreux.,Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Sturry,Kent,1941,1974,"See Table 2, notes (e) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Thanington,Kent,1837,1894,"Abolished 1894 and divided into the parishes of Thanington Within 
    and Thanington Without.",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Thanington Within,Kent,1894,1910,"Created 1894 from the part of the parish of Thanington in Canterbury 
    County Borough. See also Table 2, note (c).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Thanington Without,Kent,1894,1974,"Created 1894 from the rural part of the parish of Thanington. 
    See also Table 2, notes (d) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Upper Hardres,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Waltham,Kent,1837,1974,"See Table 2, notes (a) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Westbere,Kent,1941,1974,"See Table 2, notes (e) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Whitstable,Kent,1941,1974,"Abolished 1.4.1974 and added to the Canterbury unparished area. See also Table 
    2, notes (e), (h) and (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Wickhambreaux,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Womenswold,Kent,1837,1974,"See Table 2, note (j).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
Wootton,Kent,1934,1941,"That part which until 1.4.1934 formed parts of the parish of 
    Banham. See also Table 2, note (f).",Bridge,http://www.ukbmd.org.uk/reg/districts/bridge.html
