parish,county,from_year,to_year,comments,district,source_url
Althorp,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Arthingworth,Northamptonshire,1936,1974,"See Table 2, notes (d) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Ashton,Northamptonshire,1936,1974,"See Table 2, notes (g) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Billing,Northamptonshire,1936,1974,"See Table 2, notes (f), (j), (l), (m) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Boughton,Northamptonshire,1837,1974,"See Table 2, notes (b), (e), (j), (l) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Brafield on the Green,Northamptonshire,1936,1974,"See Table 2, notes (f), (m), (o) and (p).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Brington,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Brixworth,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Bugbrooke,Northamptonshire,1936,1974,"See Table 2, notes (f) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Castle Ashby,Northamptonshire,1936,1974,"See Table 2, notes (f) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Chapel Brampton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Church Brampton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Clipston,Northamptonshire,1936,1974,"See Table 2, notes (d) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Cogenhoe,Northamptonshire,1936,1974,"See Table 2, notes (f), (m) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Cold Ashby,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Collingtree,Northamptonshire,1936,1974,"See Table 2, notes (f) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Coton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Ravensthorpe.,Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Cottesbrook,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Courteenhall,Northamptonshire,1936,1974,"See Table 2, notes (f) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Creaton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Denton,Northamptonshire,1936,1974,"See Table 2, notes (f) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Draughton,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Duston,Northamptonshire,1936,1965,"Abolished 1.4.1965 and divided between the parishes of Northampton, 
    Upton and Harlestone. See also Table 2, notes (f) and (j).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
East Farndon,Northamptonshire,1936,1974,"See Table 2, notes (d), (h) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
East Haddon,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Faxton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Lamport.,Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Great Houghton,Northamptonshire,1936,1974,"See Table 2, notes (f), (j) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Great Oxenden,Northamptonshire,1936,1974,"See Table 2, notes (d) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Guilsborough,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hackleton,Northamptonshire,1936,1974,"See Table 2, notes (f) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hanging Houghton,Northamptonshire,1837,1935,Abolished 1.4.1935 and added to the parish of Lamport.,Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hannington,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hardingstone,Northamptonshire,1936,1974,"See Table 2, notes (f), (j), (k), (m) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Harlestone,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Harpole,Northamptonshire,1936,1974,"See Table 2, notes (f), (m) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hartwell,Northamptonshire,1936,1974,"See Table 2, notes (g) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Haselbech,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Holcot,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Holdenby,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Hollowell,Northamptonshire,1837,1974,"See Table 2, note (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Kelmarsh,Northamptonshire,1936,1974,"See Table 2, notes (d) and (n).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
Kislingbury,Northamptonshire,1936,1974,"See Table 2, notes (f) and (o).",Brixworth,http://www.ukbmd.org.uk/reg/districts/brixworth.html
