parish,county,from_year,to_year,comments,district,source_url
Agden,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Alderley Edge,Cheshire,1936,1937,"That part which until 1.4.1936 formed parts of the parishes 
    of Bollinfee and Wilmslow.",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Altrincham,Cheshire,1898,1974,"Abolished 1.4.1974 and added to the Trafford unparished area. 
    See also Table 2, notes (a) and (p).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Ashley,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Ashton upon Mersey,Cheshire,1898,1936,"Abolished 1.4.1936 and added to the parish of Sale. See also 
    Table 2, note (a).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Aston by Budworth,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Baguley,Cheshire,1898,1931,"Abolished 1.4.1931 and added to the parish of Manchester. 
    See also Table 2, notes (a) and (h).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Bexton,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Bollinfee,Cheshire,1898,1936,"Abolished 1.4.1936 and divided between the parishes of Alderley 
    Edge and Wilmslow. See also Table 2, note (a).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Bollington,Cheshire,1898,1974,"Renamed 1.4.1974 to become the parish of Little Bollington. See 
    also Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Bowdon,Cheshire,1898,1974,"Abolished 1.4.1974 and added to the Trafford unparished area. 
    See also Table 2, notes (a) and (p).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Carrington,Cheshire,1898,1974,"See Table 2, notes (c) and (p).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Dunham Massey,Cheshire,1898,1974,"See Table 2, notes (a) and (p).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Flixton,Lancashire,1920,1920,"That part which until 1.4.1920 formed parts of the parishes 
    of Carrington and Partington. See also Table 2, note (b).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Hale,Cheshire,1898,1974,"Abolished 1.4.1974 and added to the Trafford unparished area. 
    See also Table 2, notes (a) and (p).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
High Legh,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Irlam,Lancashire,1920,1920,"That part which until 1.4.1920 formed part of the parish 
    of Carrington. See also Table 2, note (b).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Knutsford,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Little Warford,Cheshire,1951,1974,"Created 1.4.1951 out of the parish of Marthall cum Warford. See 
    also Table 2, note (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Lymm,Cheshire,1898,1974,"See Table 2, notes (a), (f) and (m).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Manchester,Lancashire,1931,1936,"That part which until 1.4.1931 formed the parishes of Baguley, 
    Northenden and Northen Etchells. See also Table 2, note (h).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Marthall,Cheshire,1951,1974,"Created 1.4.1951 out of the parish of Marthall cum Warford. See 
    also Table 2, note (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Marthall cum Warford,Cheshire,1898,1951,"Abolished 1.4.1951 and divided into the parishes of Marthall and 
    Little Warford. See also Table 2, note (a).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Mere,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Millington,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Mobberley,Cheshire,1898,1974,"See Table 2, notes (a), (i) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Northenden,Cheshire,1898,1931,"Abolished 1.4.1931 and added to the parish of Manchester. 
    See also Table 2, notes (a) and (h).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Northen Etchells,Cheshire,1898,1931,"Abolished 1.4.1931 and added to the parish of Manchester. 
    See also Table 2, notes (a) and (h).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Ollerton,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Partington,Cheshire,1898,1974,"See Table 2, notes (a) and (p).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Peover Inferior,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Peover Superior,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Pickmere,Cheshire,1898,1974,"See Table 2, notes (a), (i) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Plumley,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Ringway,Cheshire,1900,1974,"Created 1.4.1900 from the rural part of the parish of Hale. See 
    also Table 2, note (o).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Rixton with Glazebrook,Lancashire,1920,1920,"That part which until 1.4.1920 formed parts of the parishes 
    of Partington and Warburton. See also Table 2, note (d).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Rixton with Glazebrook,Lancashire,1933,1937,"That part which until 1.4.1933 formed parts of the parishes 
    of Lymm and Warburton. See also Table 2, note (j).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Rostherne,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Sale,Cheshire,1898,1974,"Abolished 1.4.1974 and added to the Trafford unparished area. 
    See also Table 2, notes (a) and (p).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Styal,Cheshire,1898,1936,"Abolished 1.4.1936 and divided between the parishes of Wilmslow 
    and Mobberley. Sse also Table 2, note (a).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Tabley Inferior,Cheshire,1898,1974,"See Table 2, notes (a), (l) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Tabley Superior,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Tatton,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Timperley,Cheshire,1898,1936,"Abolished 1.4.1936 and divided between the parishes of Altrincham, 
    Hale and Sale. See also Table 2, note (a).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Toft,Cheshire,1898,1974,"See Table 2, notes (a) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Unnamed,Cheshire,1898,1936,"Abolished 1.4.1936 and added to the parish of Bowdon. See 
    also Table 2, note (a).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Warburton,Cheshire,1898,1974,"See Table 2, notes (a), (g) and (p).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Wilmslow,Cheshire,1898,1974,"Abolished 1.4.1974 and added to the Macclesfield unparished area. See also Table 
    2, notes (a), (n), (i) and (n).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
Wincham,Cheshire,1936,1937,"That part which until 1.4.1936 formed part of the parish 
    of Pickmere. See also Table 2, note (k).",Bucklow,http://www.ukbmd.org.uk/reg/districts/bucklow.html
