parish,county,from_year,to_year,comments,district,source_url
Acklam,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (e).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Bainton,Yorkshire East Riding,1937,1974,"See Table 2, notes (b) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Barmston,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Beeford,Yorkshire East Riding,1937,1974,"See Table 2, notes (b) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Bempton,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Birdsall,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (e).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Boynton,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Bridlington,Yorkshire East Riding,1937,1974,"Abolished 1.4.1974 and added to the North Wolds unparished area. See also Table 
    2, notes (a) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Burton Agnes,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Burton Fleming,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Burythorpe,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (e).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Carnaby,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Cottam,Yorkshire East Riding,1937,1974,"See Table 2, notes (b) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Driffield,Yorkshire East Riding,1937,1974,"Abolished 1.4.1974 and added to the North Wolds unparished area. See also Table 
    2, notes (b) and (e).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Filey,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (i).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Fimber,Yorkshire East Riding,1937,1974,"See Table 2, notes (b) and (d).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
Firby,Yorkshire East Riding,1937,1974,"See Table 2, notes (a) and (e).",Buckrose,http://www.ukbmd.org.uk/reg/districts/buckrose.html
