parish,county,from_year,to_year,comments,district,source_url
Adwell,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Aston Rowant,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Beckley & Stowood,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Benson,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Berinsfield,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Berrick Salome,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Blackbird Leys,Oxfordshire,2001,2001,"Created 1.4.2001 out of the Oxford unparished area and the 
    parishes of Garsington, Littlemore and Sandford on Thames. See also Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Brightwell Baldwin,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Britwell,Oxfordshire,1964,1990,"Renamed 18.7.1990 to create the parish of Britwell Salome. See 
    also Table 2, note (a).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Britwell Salome,Oxfordshire,1990,2001,"Created 18.7.1990 by renaming the parish of Britwell. See also Table 2, note (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Chalgrove,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Chinnor,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Clifton Hampden,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Crowell,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Cuddesdon & Denton,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Culham,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Cuxham with Easington,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Dorchester,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Drayton St. Leonard,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Elsfield,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Ewelme,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Forest Hill with Shotover,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Garsington,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Great Haseley,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Great Milton,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Holton,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Horspath,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Lewknor,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Little Milton,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Littlemore,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Marsh Baldon,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Marston,Oxfordshire,1964,1994,"Renamed 12.7.1994 to become the parish of Old Marston. See 
    also Table 2, note (a).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Middleton Stoney,Oxfordshire,1964,1974,"See Table 2, notes (a) and (b).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Mixbury,Oxfordshire,1964,1974,"See Table 2, notes (a) and (b).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Newington,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Noke,Oxfordshire,1964,1974,"See Table 2, notes (a) and (b).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Nuneham Courtenay,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Old Marston,Oxfordshire,1994,2001,"Created 12.7.1994 by renaming the parish of Marston. See also Table 2, note (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Pyrton,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Risinghurst & Sandhills,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Sandford on Thames,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Shirburn,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Stadhampton,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Stanton St. John,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Stoke Talmage,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
Sydenham,Oxfordshire,1964,2001,"See Table 2, notes (a) and (c).",Bullingdon,http://www.ukbmd.org.uk/reg/districts/bullingdon.html
