parish,county,from_year,to_year,comments,district,source_url
Aldwark,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Alne,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Angram Grange,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Beningbrough,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Bossall with Buttercrambe,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (f).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Brafferton,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Brandsby cum Stearsby,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Carlton Husthwaite,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Claxton,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (f).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Clifton Without,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (c).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Coxwold,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Crayke,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Dalby cum Skewsby,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Earswick,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (f).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Easingwold,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Farlington,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Flawith,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Flaxton,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (f).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Gate Helmsley,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (f).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Harton,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (f).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Haxby,Yorkshire North Riding,1936,1974,"See Table 2, notes (b) and (f).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Helperby,Yorkshire North Riding,1936,1974,"See Table 2, notes (a) and (e).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
Heworth Without,Yorkshire North Riding,1936,1974,"See Table 2, notes (b), (c), (d) and (f).",Bulmer,http://www.ukbmd.org.uk/reg/districts/bulmer.html
