parish,county,from_year,to_year,comments,district,source_url
Anstey,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Ardeley,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Aspenden,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Broadfield,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Buckland,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Cottered,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Great Hormead,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Layston,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Little Hormead,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Meesden,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Rushden,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Sandon,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Throcking,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Wakeley,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Wallington,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Westmill,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
Wyddial,Hertfordshire,1837,1838,"See Table 2, note (a).",Buntingford (1837 only),http://www.ukbmd.org.uk/reg/districts/buntingford.html
