parish,county,from_year,to_year,comments,district,source_url
Altham,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Barley with Wheatley Booth,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Barrowford,Lancashire,1894,1936,"Created 1894 from the part of the parish of Barrowford Booth in 
    Barrowford Booth Urban District. See also Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Barrowford Booth,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Barrowford and 
    Blacko.",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Blacko,Lancashire,1894,1936,"Created 1894 from the rural part of the parish of Barrowford Booth. 
    See also Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Briercliffe,Lancashire,1894,1936,"Created 1894 from the rural part of the parish of Briercliffe with Entwistle. 
    See also Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Briercliffe with Extwistle,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Briercliffe 
    and Burnley.",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Brierfield,Lancashire,1894,1936,"Created 1894 from the part of the parish of Great & Little Marsden 
    in Brierfield Urban District. See also Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Brunshaw,Lancashire,1894,1911,"Created 1894 from the rural part of the parish of Burnley. Abolished 
    9.11.1911 and divided between the parishes of Cliviger and Burnley.",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Burnley,Lancashire,1837,1974,"Abolished 1.4.1974 to become an unparished area. See also Table 
    2, note (d).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Cliviger,Lancashire,1837,1889,"In 1889 the part of the parish of Cliviger in Todmorden Urban 
    District became part of Yorkshire West Riding, in 1894 this area became the 
    separate parish of Cornholme, so that thereafter Cliviger was again wholly in 
    Lancashire. See also Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Colne,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Cornholme,Yorkshire West Riding,1894,1895,"Created 1894 out of the part of the parish of Cliviger in Todmorden 
    Urban District. See also Table 2, note (a).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Dunnockshaw,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Foulridge,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Goldshaw Booth,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Great & Little Marsden,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Nelson, Brierfield and Colne.",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Habergham Eaves,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Hapton,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Heyhouses,Lancashire,1837,1904,Abolished 1.4.1904 and added to the parish of Sabden.,Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Higham with West Close Booth,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Huncoat,Lancashire,1837,1929,Abolished 1.4.1929 and added to the parish of Accrington.,Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Ightenhill,Lancashire,1894,1936,"Created 1894 from the rural parts of the parishes of Ightenhill 
    Park and Habergham Eaves. See also Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Ightenhill Park,Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Burnley and 
    Ightenhill.",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Nelson,Lancashire,1894,1936,"Created 1894 from the parts of the parishes of Great & Little 
    Marsden and Barrowford Booth in Nelson Municipal Borough. See also Table 2, 
    note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Northtown,Lancashire,1894,1936,"Created 1894 from the rural part of the parish of Padiham. See 
    also Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Old Laund Booth,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Padiham,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Read,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Reedley Hallows,Lancashire,1894,1936,"Created 1894 from the rural part of the parish of Reedley Hallows 
    Filey Close & New Launds Booth. See also Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
"Reedley Hallows, Filey Close & New Launds Booth",Lancashire,1837,1894,"Abolished 1894 and divided between the parishes of Reedley Hallows 
    and Burnley.",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Roughlee Booth,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Sabden,Lancashire,1904,1936,"Created 1.4.1904 out of the parishes of Pendleton, Read, Wiswell, 
    Heyhouses, Goldshaw Booth, Higham with West Close Booth and North Town. See 
    also Table 2, notes (b) and (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Simonstone,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Trawden,Lancashire,1837,1936,"See Table 2, note (c).",Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
Wheatley Carr Booth,Lancashire,1837,1935,Abolished 1.4.1935 and added to the parish of Old Laund Booth.,Burnley,http://www.ukbmd.org.uk/reg/districts/burnley.html
