parish,county,from_year,to_year,comments,district,source_url
Altham,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Barley with Wheatley Booth,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Barnoldswick,Lancashire,1987,2005,Created 1.4.1987 out of the Pendle unparished area.,Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Barrowford,Lancashire,1987,2005,"Created 1.4.1987 out of the Pendle unparished area. 
    See also Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Blacko,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Bracewell,Lancashire,1974,1987,"Abolished 1.4.1987 and added to the parish of Bracewell & 
    Brogden. See alsoTable 2, note (c).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Bracewell & Brogden,Lancashire,1987,2005,"Created 1.4.1987 out of the parishes of Bracewell and Brogden. See 
    also Table 2, note (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Briercliffe,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Brierfield,Lancashire,1992,2005,"Created 1.4.1992 out of parts of the Pendle unparished area and the parish of Old Laund Booth. See also Table 2, note (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Brogden,Lancashire,1974,1987,"Abolished 1.4.1987 and divided between the parishes of Bracewell 
    & Brogden and Blacko. See also Table 2, notes (c) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Burnley*,Lancashire,1974,2005,"Unparished area which until 1.4.1974 formed the parishes of Burnley 
    and Padiham. See also Table 2, notes (a) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Cliviger,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Dunnockshaw,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Earby,Lancashire,1992,2005,"Created 1.4.1992 out of parts of the Pendle unparished area and the parish 
    of Salterforth. See also Table 2, note (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Foulridge,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Goldshaw Booth,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Habergham Eaves,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Hapton,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Higham with West Close Booth,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Ightenhill,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Kelbrook & Sough,Lancashire,1992,2005,"Created 1.4.1992 out of the Pendle unparished area. See also 
    Table 2, note (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Laneshaw Bridge,Lancashire,1992,2005,"Created 1.4.1992 out of the Pendle unparished area. See also 
    Table 2, note (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
North Town,Lancashire,1974,1983,"Abolished 1.4.1983 and added to the parish of Simonstone. 
    See also Table 2, note (b).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Old Laund Booth,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Padiham,Lancashire,2002,2005,"Created 1.4.2002 out of the Burnley unparished area. See also Table 
    2, note (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Pendle*,Lancashire,1974,2005,"Unparished area which until 1.4.1974 formed the parishes of 
    Barnoldswick, Barrowford, Brierfield, Colne, Earby, Nelson and Trawden.  See also Table 2, notes 
    (b), (c) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Reedley Hallows,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Roughlee Booth,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Salterforth,Lancashire,1974,2005,"See Table 2, notes (c) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Simonstone,Lancashire,1974,1987,"See Table 2, notes (b) and (d).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Trawden Forest,Lancashire,1987,2005,"Created 1.4.1987 out of the Pendle unparished area. See also 
    Table 2, note (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
Worsthorne with Hurstwood,Lancashire,1974,2005,"See Table 2, notes (b) and (e).",Burnley & Pendle,http://www.ukbmd.org.uk/reg/districts/burnley%20and%20pendle.html
