parish,county,from_year,to_year,comments,district,source_url
Ampton,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Badwell Ash,West Suffolk,1935,1974,"See Table 2, note (b).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Bardwell,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Barnham,West Suffolk,1938,1974,"See Table 2, note (e).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Barningham,West Suffolk,1938,1974,"See Table 2, note (e).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Barrow,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Beyton,West Suffolk,1935,1974,"See Table 2, note (b).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Bradfield Combust,West Suffolk,1908,1974,"See Table 2, notes (a) and (c).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Bradfield St. Clare,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Bradfield St. George,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Brockley,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Bury St. Edmunds,West Suffolk,1895,1974,"Created 30.9.1895 from the parishes of St. James and St. Mary. 
    Abolished 1.4.1974 and added to the St. Edmundsbury unparished area.",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Chedburgh,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Chevington,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Coney Weston,West Suffolk,1938,1974,"See Table 2, note (e).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Culford,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Denham,West Suffolk,1908,1974,"See Table 2, note (a).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
Depden,West Suffolk,1908,1938,"See Table 2, notes (a) and (d).",Bury St Edmunds,http://www.ukbmd.org.uk/reg/districts/bury%20st%20edmunds.html
