parish,county,from_year,to_year,comments,district,source_url
Abington Pigotts,Cambridgeshire,1935,1965,"See Table 2, notes (f) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Arrington,Cambridgeshire,1935,1965,"See Table 2, notes (b) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Ashley,Cambridgeshire,1935,1965,"See Table 2, notes (e) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Babraham,Cambridgeshire,1935,1965,"See Table 2, notes (d) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Balsham,Cambridgeshire,1935,1965,"See Table 2, notes (d) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Bar Hill,Cambridgeshire & Isle of Ely,1966,1974,"Created 1.4.1966 out of the parish of Dry Drayton. See also Table 
    2, note (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Barrington,Cambridgeshire,1935,1965,"See Table 2, notes (f) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Bartlow,Cambridgeshire,1935,1965,"See Table 2, notes (d), (k), (l) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Barton,Cambridgeshire,1935,1965,"See Table 2, notes (c) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Bassingbourn,Cambridgeshire,1935,1965,"Abolished 1.4.1966 and added to the parish of Bassingboun cum Kneesworth. See also Table 2, notes 
    (f) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Bassingbourn cum Kneesworth,Cambridgeshire & Isle of Ely,1966,1974,"Created 1.4.1966 from the parishes of Bassingbourn and Kneesworth. 
    See also Table 2, note (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Bottisham,Cambridgeshire,1935,1965,"See Table 2, notes (e) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Bourn,Cambridgeshire,1935,1965,"See Table 2, notes (b) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Boxworth,Cambridgeshire,1935,1965,"See Table 2, notes (g) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Brinkley,Cambridgeshire,1935,1965,"See Table 2, notes (e) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Burrough Green,Cambridgeshire,1935,1965,"See Table 2, notes (e) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
Burwell,Cambridgeshire,1935,1965,"See Table 2, notes (e) and (m).",Cambridgeshire (1935-1974),http://www.ukbmd.org.uk/reg/districts/cambridgeshire.html
